จังหวัด, PM2.5, วันที่
ตาก,33.89754662911059,2024-01-01
เลย,24.519253977254746,2024-01-01
ตรัง,28.06860037672424,2024-01-01
ตราด,18.282477630308318,2024-01-01
น่าน,25.266640556081846,2024-01-01
ยะลา,24.32100993967615,2024-01-01
สตูล,28.2495481231743,2024-01-01
แพร่,28.794403800874925,2024-01-01
ชุมพร,21.160122283479122,2024-01-01
พะเยา,25.191889362368862,2024-01-01
พังงา,23.128141406498155,2024-01-01
ยโสธร,10.298036685298985,2024-01-01
ระนอง,21.388795019519264,2024-01-01
ระยอง,34.86019796302569,2024-01-01
ลำปาง,26.288758781039203,2024-01-01
ลำพูน,24.737912925010843,2024-01-01
สงขลา,26.25772494722607,2024-01-01
กระบี่,20.502104419791845,2024-01-01
ชลบุรี,31.574539875599037,2024-01-01
ชัยนาท,36.47080192913567,2024-01-01
นครปฐม,48.845082126710004,2024-01-01
นครพนม,10.107859937141605,2024-01-01
บึงกาฬ,12.36170025802214,2024-01-01
พัทลุง,19.83611112244286,2024-01-01
พิจิตร,38.58540978671863,2024-01-01
ภูเก็ต,21.21502550701735,2024-01-01
ลพบุรี,32.43690132105602,2024-01-01
สกลนคร,11.75957736377374,2024-01-01
ขอนแก่น,17.878061923399848,2024-01-01
ชัยภูมิ,22.905855193325447,2024-01-01
นครนายก,28.308662775329488,2024-01-01
นนทบุรี,44.06845548871836,2024-01-01
ปัตตานี,21.834913416663344,2024-01-01
ราชบุรี,45.180486062994326,2024-01-01
สระบุรี,30.72808794901534,2024-01-01
สระแก้ว,28.277522395597483,2024-01-01
สุโขทัย,32.336345642901584,2024-01-01
หนองคาย,27.06514101542587,2024-01-01
อ่างทอง,39.907315709932234,2024-01-01
จันทบุรี,26.186232151565463,2024-01-01
นราธิวาส,24.56797782807914,2024-01-01
ปทุมธานี,40.53116768022712,2024-01-01
พิษณุโลก,37.13160210655536,2024-01-01
มุกดาหาร,9.88413017585323,2024-01-01
ร้อยเอ็ด,11.909378770875405,2024-01-01
ศรีสะเกษ,10.713444221767444,2024-01-01
สุรินทร์,11.140199006647459,2024-01-01
อุดรธานี,18.754502438404586,2024-01-01
เชียงราย,25.935656504594863,2024-01-01
เพชรบุรี,38.39742241400768,2024-01-01
กาญจนบุรี,41.49594064240705,2024-01-01
กาฬสินธุ์,15.633032959644753,2024-01-01
กำแพงเพชร,31.518367843265665,2024-01-01
นครสวรรค์,34.26008240908357,2024-01-01
บุรีรัมย์,16.259115888967877,2024-01-01
มหาสารคาม,14.796810455249036,2024-01-01
สมุทรสาคร,54.05967068844946,2024-01-01
สิงห์บุรี,35.70548364296779,2024-01-01
อุตรดิตถ์,28.084254937104458,2024-01-01
อุทัยธานี,36.14113839983826,2024-01-01
เชียงใหม่,18.521325876739294,2024-01-01
เพชรบูรณ์,31.052632384569986,2024-01-01
ฉะเชิงเทรา,33.94908208526977,2024-01-01
นครราชสีมา,25.94605220651398,2024-01-01
ปราจีนบุรี,32.36258814622442,2024-01-01
สุพรรณบุรี,38.95682367820649,2024-01-01
อำนาจเจริญ,8.963133644982618,2024-01-01
แม่ฮ่องสอน,15.286777015273511,2024-01-01
สมุทรปราการ,40.78765686596995,2024-01-01
สมุทรสงคราม,44.63647964847397,2024-01-01
หนองบัวลำภู,18.198084406505394,2024-01-01
อุบลราชธานี,11.162962827420492,2024-01-01
สุราษฎร์ธานี,22.269721601390422,2024-01-01
กรุงเทพมหานคร,39.6050217623686,2024-01-01
นครศรีธรรมราช,23.667313170864645,2024-01-01
ประจวบคีรีขันธ์,33.09341473238405,2024-01-01
พระนครศรีอยุธยา,36.4935074077276,2024-01-01
