จังหวัด, PM2.5, วันที่
ตาก,42.161595807687284,2024-01-27
เลย,21.870166862833596,2024-01-27
ตรัง,22.99293008183569,2024-01-27
ตราด,48.75769269961816,2024-01-27
น่าน,25.816674785289482,2024-01-27
ยะลา,20.166528128888345,2024-01-27
สตูล,19.011665683668856,2024-01-27
แพร่,29.397329483519723,2024-01-27
ชุมพร,16.07731662185749,2024-01-27
พะเยา,25.152920478831874,2024-01-27
พังงา,22.328248830154127,2024-01-27
ยโสธร,15.909561877086842,2024-01-27
ระนอง,18.40392746713115,2024-01-27
ระยอง,55.64061604517264,2024-01-27
ลำปาง,32.63813811004712,2024-01-27
ลำพูน,33.622752797414726,2024-01-27
สงขลา,20.300427554893098,2024-01-27
กระบี่,22.887958643258894,2024-01-27
ชลบุรี,54.906186908192645,2024-01-27
ชัยนาท,52.99472447443842,2024-01-27
นครปฐม,56.752599914819726,2024-01-27
นครพนม,12.808879641658804,2024-01-27
บึงกาฬ,11.914115049155779,2024-01-27
พัทลุง,22.49966649952195,2024-01-27
พิจิตร,36.20409617945896,2024-01-27
ภูเก็ต,21.834727935961443,2024-01-27
ลพบุรี,46.61288307798568,2024-01-27
สกลนคร,13.87791184863052,2024-01-27
ขอนแก่น,23.92547156634766,2024-01-27
ชัยภูมิ,31.537771573743747,2024-01-27
นครนายก,45.89256394283715,2024-01-27
นนทบุรี,55.12600860019746,2024-01-27
ปัตตานี,17.409089558247814,2024-01-27
ราชบุรี,63.4060774025937,2024-01-27
สระบุรี,48.076759090154866,2024-01-27
สระแก้ว,51.13259678629118,2024-01-27
สุโขทัย,41.26489104078744,2024-01-27
หนองคาย,20.46936586081496,2024-01-27
อ่างทอง,55.02122101228213,2024-01-27
จันทบุรี,46.01801491094497,2024-01-27
นราธิวาส,16.273364745587767,2024-01-27
ปทุมธานี,53.43044878757773,2024-01-27
พิษณุโลก,34.02604475477501,2024-01-27
มุกดาหาร,16.938123196993725,2024-01-27
ร้อยเอ็ด,18.05857940940655,2024-01-27
ศรีสะเกษ,20.18598472721098,2024-01-27
สุรินทร์,25.041241548784303,2024-01-27
อุดรธานี,16.81106319730146,2024-01-27
เชียงราย,25.893898448866032,2024-01-27
เพชรบุรี,62.301238827220175,2024-01-27
กาญจนบุรี,53.18075278808695,2024-01-27
กาฬสินธุ์,18.611051544836855,2024-01-27
กำแพงเพชร,39.21493606516044,2024-01-27
นครสวรรค์,46.67799409481068,2024-01-27
บุรีรัมย์,31.254557039519785,2024-01-27
มหาสารคาม,22.64666144494557,2024-01-27
สมุทรสาคร,68.43055156524734,2024-01-27
สิงห์บุรี,46.690494963883076,2024-01-27
อุตรดิตถ์,31.514052693207113,2024-01-27
อุทัยธานี,49.47642966569251,2024-01-27
เชียงใหม่,22.969032476183514,2024-01-27
เพชรบูรณ์,36.00991787299609,2024-01-27
ฉะเชิงเทรา,54.12968618601202,2024-01-27
นครราชสีมา,39.72154935319332,2024-01-27
ปราจีนบุรี,51.60209511109046,2024-01-27
สุพรรณบุรี,52.995567029653564,2024-01-27
อำนาจเจริญ,13.678918565439627,2024-01-27
แม่ฮ่องสอน,18.65739836769395,2024-01-27
สมุทรปราการ,60.33421392698913,2024-01-27
สมุทรสงคราม,74.21946724378847,2024-01-27
หนองบัวลำภู,16.668911521008965,2024-01-27
อุบลราชธานี,22.398145514033114,2024-01-27
สุราษฎร์ธานี,20.03637495035351,2024-01-27
กรุงเทพมหานคร,55.463386691942674,2024-01-27
นครศรีธรรมราช,21.27043785196631,2024-01-27
ประจวบคีรีขันธ์,54.00174487266454,2024-01-27
พระนครศรีอยุธยา,52.05619486417579,2024-01-27
