จังหวัด, PM2.5, วันที่
ตาก,31.046346019228668,2024-01-17
เลย,21.86519463783044,2024-01-17
ตรัง,20.391764632835976,2024-01-17
ตราด,32.94629956605006,2024-01-17
น่าน,22.017016185266332,2024-01-17
ยะลา,26.565865647504882,2024-01-17
สตูล,25.047376663899747,2024-01-17
แพร่,21.516118209360602,2024-01-17
ชุมพร,16.255687318684508,2024-01-17
พะเยา,21.110680122563213,2024-01-17
พังงา,25.75037246669907,2024-01-17
ยโสธร,20.02033090010174,2024-01-17
ระนอง,18.219701906037095,2024-01-17
ระยอง,48.596613479275554,2024-01-17
ลำปาง,20.01961833166787,2024-01-17
ลำพูน,18.540905025116167,2024-01-17
สงขลา,28.272467073869542,2024-01-17
กระบี่,23.528638098122155,2024-01-17
ชลบุรี,53.90439628211949,2024-01-17
ชัยนาท,44.5714947956046,2024-01-17
นครปฐม,60.08593657666307,2024-01-17
นครพนม,14.625040499307579,2024-01-17
บึงกาฬ,15.259517184123633,2024-01-17
พัทลุง,23.493362709250995,2024-01-17
พิจิตร,34.80553511785071,2024-01-17
ภูเก็ต,24.600511059430445,2024-01-17
ลพบุรี,46.31707375901766,2024-01-17
สกลนคร,16.283415728862416,2024-01-17
ขอนแก่น,22.653935560333768,2024-01-17
ชัยภูมิ,28.002087776231914,2024-01-17
นครนายก,39.429927758335026,2024-01-17
นนทบุรี,54.299016897450095,2024-01-17
ปัตตานี,23.415193292671745,2024-01-17
ราชบุรี,63.48259040743446,2024-01-17
สระบุรี,48.840250984723035,2024-01-17
สระแก้ว,49.75459871638635,2024-01-17
สุโขทัย,36.01435794930055,2024-01-17
หนองคาย,23.768327632579414,2024-01-17
อ่างทอง,53.828229432968094,2024-01-17
จันทบุรี,41.31899321156701,2024-01-17
นราธิวาส,23.339792447598146,2024-01-17
ปทุมธานี,52.882594178158044,2024-01-17
พิษณุโลก,29.814017811700396,2024-01-17
มุกดาหาร,19.138041813820664,2024-01-17
ร้อยเอ็ด,20.912934171625064,2024-01-17
ศรีสะเกษ,23.947043735933907,2024-01-17
สุรินทร์,26.85849132193615,2024-01-17
อุดรธานี,17.823053890586504,2024-01-17
เชียงราย,16.281789731138257,2024-01-17
เพชรบุรี,57.160824671025296,2024-01-17
กาญจนบุรี,50.517863695602614,2024-01-17
กาฬสินธุ์,20.681528244281296,2024-01-17
กำแพงเพชร,36.52783616748528,2024-01-17
นครสวรรค์,40.803951105385636,2024-01-17
บุรีรัมย์,30.557813308347903,2024-01-17
มหาสารคาม,22.999939344438413,2024-01-17
สมุทรสาคร,71.40240508230288,2024-01-17
สิงห์บุรี,44.842162500168264,2024-01-17
อุตรดิตถ์,26.14178623470227,2024-01-17
อุทัยธานี,43.54755941150458,2024-01-17
เชียงใหม่,14.66229111143214,2024-01-17
เพชรบูรณ์,33.71811399386268,2024-01-17
ฉะเชิงเทรา,55.7229044508294,2024-01-17
นครราชสีมา,37.66412393117717,2024-01-17
ปราจีนบุรี,48.411379271934756,2024-01-17
สุพรรณบุรี,50.02355301516696,2024-01-17
อำนาจเจริญ,15.228055971031159,2024-01-17
แม่ฮ่องสอน,14.134193784320246,2024-01-17
สมุทรปราการ,59.93956282757649,2024-01-17
สมุทรสงคราม,74.2850093110581,2024-01-17
หนองบัวลำภู,15.422169336018595,2024-01-17
อุบลราชธานี,25.219944201274892,2024-01-17
สุราษฎร์ธานี,24.715802631945266,2024-01-17
กรุงเทพมหานคร,52.96391630385119,2024-01-17
นครศรีธรรมราช,19.19651087317087,2024-01-17
ประจวบคีรีขันธ์,49.755116331659224,2024-01-17
พระนครศรีอยุธยา,53.49044594213627,2024-01-17
