จังหวัด, PM2.5, วันที่
ตาก,42.84236287203518,2024-02-18
เลย,57.11923052828407,2024-02-18
ตรัง,21.591695237857564,2024-02-18
ตราด,18.39357710418951,2024-02-18
น่าน,55.01355020321206,2024-02-18
ยะลา,21.755211819139074,2024-02-18
สตูล,20.848956611468015,2024-02-18
แพร่,48.94857439427125,2024-02-18
ชุมพร,18.871098406464228,2024-02-18
พะเยา,51.25958456944681,2024-02-18
พังงา,22.390357965024215,2024-02-18
ยโสธร,61.00929348354306,2024-02-18
ระนอง,19.764246221350124,2024-02-18
ระยอง,14.402190391324261,2024-02-18
ลำปาง,50.25439028870719,2024-02-18
ลำพูน,44.60593401953171,2024-02-18
สงขลา,21.31119419258074,2024-02-18
กระบี่,19.64696912524802,2024-02-18
ชลบุรี,15.717914923609168,2024-02-18
ชัยนาท,33.36110926596472,2024-02-18
นครปฐม,14.67808133466033,2024-02-18
นครพนม,61.27829883895588,2024-02-18
บึงกาฬ,47.35770556110614,2024-02-18
พัทลุง,19.129325663522575,2024-02-18
พิจิตร,37.024243978855345,2024-02-18
ภูเก็ต,27.000060892316508,2024-02-18
ลพบุรี,27.679392637474233,2024-02-18
สกลนคร,52.47612174034142,2024-02-18
ขอนแก่น,50.07306079490743,2024-02-18
ชัยภูมิ,43.2558990728047,2024-02-18
นครนายก,18.634635832734066,2024-02-18
นนทบุรี,11.995916378270866,2024-02-18
ปัตตานี,20.275497871906065,2024-02-18
ราชบุรี,18.235504429813663,2024-02-18
สระบุรี,20.961152994235842,2024-02-18
สระแก้ว,25.601794277631814,2024-02-18
สุโขทัย,49.042593140470004,2024-02-18
หนองคาย,62.13788475465582,2024-02-18
อ่างทอง,20.397166469996304,2024-02-18
จันทบุรี,16.871579335029338,2024-02-18
นราธิวาส,18.96788199573297,2024-02-18
ปทุมธานี,14.196550521435757,2024-02-18
พิษณุโลก,43.51316767962764,2024-02-18
มุกดาหาร,64.09272152703227,2024-02-18
ร้อยเอ็ด,56.63418812848713,2024-02-18
ศรีสะเกษ,52.047173575721,2024-02-18
สุรินทร์,45.68634045152197,2024-02-18
อุดรธานี,58.929823637388616,2024-02-18
เชียงราย,40.26802623955746,2024-02-18
เพชรบุรี,17.674723260605173,2024-02-18
กาญจนบุรี,26.20810985604031,2024-02-18
กาฬสินธุ์,57.05684433945163,2024-02-18
กำแพงเพชร,41.34078804351442,2024-02-18
นครสวรรค์,34.98757500692408,2024-02-18
บุรีรัมย์,39.66847699114097,2024-02-18
มหาสารคาม,50.29470138092846,2024-02-18
สมุทรสาคร,11.977999308640555,2024-02-18
สิงห์บุรี,24.912213849858464,2024-02-18
อุตรดิตถ์,48.81083452139751,2024-02-18
อุทัยธานี,32.863799460650014,2024-02-18
เชียงใหม่,36.96442882685956,2024-02-18
เพชรบูรณ์,40.733795013162,2024-02-18
ฉะเชิงเทรา,18.714052270348542,2024-02-18
นครราชสีมา,34.211940162426124,2024-02-18
ปราจีนบุรี,25.46345465855323,2024-02-18
สุพรรณบุรี,21.817994686165488,2024-02-18
อำนาจเจริญ,58.68639324743607,2024-02-18
แม่ฮ่องสอน,37.76668657359737,2024-02-18
สมุทรปราการ,13.02083551431532,2024-02-18
สมุทรสงคราม,12.197416041692872,2024-02-18
หนองบัวลำภู,60.49036019327726,2024-02-18
อุบลราชธานี,55.875398843013265,2024-02-18
สุราษฎร์ธานี,21.76915828299024,2024-02-18
กรุงเทพมหานคร,11.601687920094513,2024-02-18
นครศรีธรรมราช,21.601120061417316,2024-02-18
ประจวบคีรีขันธ์,17.979054993380625,2024-02-18
พระนครศรีอยุธยา,16.56832718594789,2024-02-18
