จังหวัด, PM2.5, วันที่
ตาก,47.803249862163206,2024-01-25
เลย,28.54061763682817,2024-01-25
ตรัง,18.362469637780688,2024-01-25
ตราด,31.64454831324658,2024-01-25
น่าน,34.715627769354086,2024-01-25
ยะลา,15.223628030298388,2024-01-25
สตูล,13.273385703558926,2024-01-25
แพร่,40.79450725654388,2024-01-25
ชุมพร,13.557385273306092,2024-01-25
พะเยา,37.64601906480395,2024-01-25
พังงา,14.655571702101978,2024-01-25
ยโสธร,9.649549463852376,2024-01-25
ระนอง,15.997175191564779,2024-01-25
ระยอง,31.071730775019947,2024-01-25
ลำปาง,41.3110554847582,2024-01-25
ลำพูน,42.79535915912614,2024-01-25
สงขลา,13.55674662443144,2024-01-25
กระบี่,13.753350866518762,2024-01-25
ชลบุรี,30.47395185043193,2024-01-25
ชัยนาท,38.274837024312085,2024-01-25
นครปฐม,34.955710792766595,2024-01-25
นครพนม,11.479678759018812,2024-01-25
บึงกาฬ,10.75463526862574,2024-01-25
พัทลุง,14.623134574431726,2024-01-25
พิจิตร,38.124944269804004,2024-01-25
ภูเก็ต,15.134576341751835,2024-01-25
ลพบุรี,32.20438126949112,2024-01-25
สกลนคร,11.42213149230964,2024-01-25
ขอนแก่น,18.443428224337776,2024-01-25
ชัยภูมิ,24.72228758037198,2024-01-25
นครนายก,26.15976474845413,2024-01-25
นนทบุรี,32.72267342503432,2024-01-25
ปัตตานี,12.74823298213544,2024-01-25
ราชบุรี,40.75920014467374,2024-01-25
สระบุรี,31.698500434956554,2024-01-25
สระแก้ว,24.157408751812557,2024-01-25
สุโขทัย,51.85416079987102,2024-01-25
หนองคาย,16.115424153451443,2024-01-25
อ่างทอง,29.507843751014697,2024-01-25
จันทบุรี,26.649731876642438,2024-01-25
นราธิวาส,15.231111061876579,2024-01-25
ปทุมธานี,31.661142331373107,2024-01-25
พิษณุโลก,37.65128014568671,2024-01-25
มุกดาหาร,14.929571657664606,2024-01-25
ร้อยเอ็ด,10.703728759276586,2024-01-25
ศรีสะเกษ,9.815684674041426,2024-01-25
สุรินทร์,11.844038085439081,2024-01-25
อุดรธานี,14.148445596473236,2024-01-25
เชียงราย,37.787753402830084,2024-01-25
เพชรบุรี,39.791109174162834,2024-01-25
กาญจนบุรี,37.1897514132559,2024-01-25
กาฬสินธุ์,13.571456603906796,2024-01-25
กำแพงเพชร,45.59867931851789,2024-01-25
นครสวรรค์,37.85417638525647,2024-01-25
บุรีรัมย์,16.70279593767519,2024-01-25
มหาสารคาม,14.790345770329901,2024-01-25
สมุทรสาคร,44.54130361648448,2024-01-25
สิงห์บุรี,29.565132546172425,2024-01-25
อุตรดิตถ์,38.29187101400407,2024-01-25
อุทัยธานี,38.76200764191684,2024-01-25
เชียงใหม่,36.888975723997156,2024-01-25
เพชรบูรณ์,31.80788055039805,2024-01-25
ฉะเชิงเทรา,30.861678204364402,2024-01-25
นครราชสีมา,25.113678398122058,2024-01-25
ปราจีนบุรี,29.667736367239133,2024-01-25
สุพรรณบุรี,33.77265819001428,2024-01-25
อำนาจเจริญ,9.24334351538541,2024-01-25
แม่ฮ่องสอน,30.767493027672053,2024-01-25
สมุทรปราการ,36.01767464501876,2024-01-25
สมุทรสงคราม,47.53167810134922,2024-01-25
หนองบัวลำภู,15.302109592264983,2024-01-25
อุบลราชธานี,10.506192154173334,2024-01-25
สุราษฎร์ธานี,15.196821521307317,2024-01-25
กรุงเทพมหานคร,32.724316376577676,2024-01-25
นครศรีธรรมราช,12.394859443524657,2024-01-25
ประจวบคีรีขันธ์,34.85999740162647,2024-01-25
พระนครศรีอยุธยา,29.21101454844596,2024-01-25
