จังหวัด, PM2.5, วันที่
ตาก,55.63708474486829,2024-02-10
เลย,32.12047700130922,2024-02-10
ตรัง,24.19083356870256,2024-02-10
ตราด,39.83071953675675,2024-02-10
น่าน,56.17944993030266,2024-02-10
ยะลา,21.3508933358369,2024-02-10
สตูล,20.857137579204984,2024-02-10
แพร่,62.90976678118149,2024-02-10
ชุมพร,19.87968534952847,2024-02-10
พะเยา,60.14340585028362,2024-02-10
พังงา,24.942995412225855,2024-02-10
ยโสธร,16.8590762433971,2024-02-10
ระนอง,20.29630037587351,2024-02-10
ระยอง,28.887346065748496,2024-02-10
ลำปาง,63.843100744306795,2024-02-10
ลำพูน,60.23162764374289,2024-02-10
สงขลา,23.410836532026725,2024-02-10
กระบี่,20.961072186952656,2024-02-10
ชลบุรี,33.31934304526026,2024-02-10
ชัยนาท,43.02115081193195,2024-02-10
นครปฐม,35.63049169624064,2024-02-10
นครพนม,18.772364172813656,2024-02-10
บึงกาฬ,20.425721005380918,2024-02-10
พัทลุง,24.448791429912045,2024-02-10
พิจิตร,46.579460093542316,2024-02-10
ภูเก็ต,27.84653686567898,2024-02-10
ลพบุรี,39.115299282599764,2024-02-10
สกลนคร,18.72501452585964,2024-02-10
ขอนแก่น,25.301186505741153,2024-02-10
ชัยภูมิ,34.400836197085496,2024-02-10
นครนายก,33.33518122834497,2024-02-10
นนทบุรี,38.77924330140666,2024-02-10
ปัตตานี,19.768403428208153,2024-02-10
ราชบุรี,35.3915780639633,2024-02-10
สระบุรี,37.82894947541721,2024-02-10
สระแก้ว,37.211364416887726,2024-02-10
สุโขทัย,63.52665730965763,2024-02-10
หนองคาย,25.645167397268875,2024-02-10
อ่างทอง,44.06130732524421,2024-02-10
จันทบุรี,34.18431041795418,2024-02-10
นราธิวาส,19.72886132702074,2024-02-10
ปทุมธานี,39.24018911629668,2024-02-10
พิษณุโลก,50.71331056592237,2024-02-10
มุกดาหาร,23.436395198353207,2024-02-10
ร้อยเอ็ด,20.873687401401842,2024-02-10
ศรีสะเกษ,18.01569628211242,2024-02-10
สุรินทร์,20.404655976974883,2024-02-10
อุดรธานี,20.31617892357152,2024-02-10
เชียงราย,56.530934091973734,2024-02-10
เพชรบุรี,31.534368044948533,2024-02-10
กาญจนบุรี,41.63255892920545,2024-02-10
กาฬสินธุ์,23.07759082939815,2024-02-10
กำแพงเพชร,51.00313688596254,2024-02-10
นครสวรรค์,42.35003786986654,2024-02-10
บุรีรัมย์,23.57518350411007,2024-02-10
มหาสารคาม,23.911221675740055,2024-02-10
สมุทรสาคร,32.82507577931669,2024-02-10
สิงห์บุรี,40.52522068768109,2024-02-10
อุตรดิตถ์,51.7903867990367,2024-02-10
อุทัยธานี,43.352977537206,2024-02-10
เชียงใหม่,48.5896457131932,2024-02-10
เพชรบูรณ์,44.22211568325962,2024-02-10
ฉะเชิงเทรา,37.21284844812544,2024-02-10
นครราชสีมา,33.623785641746686,2024-02-10
ปราจีนบุรี,39.11210750795252,2024-02-10
สุพรรณบุรี,38.89252855157287,2024-02-10
อำนาจเจริญ,17.201425125370413,2024-02-10
แม่ฮ่องสอน,42.445353202746,2024-02-10
สมุทรปราการ,40.47604915520324,2024-02-10
สมุทรสงคราม,24.784652333098983,2024-02-10
หนองบัวลำภู,21.479515999147875,2024-02-10
อุบลราชธานี,20.56135733387477,2024-02-10
สุราษฎร์ธานี,21.618547798064558,2024-02-10
กรุงเทพมหานคร,40.240237236246564,2024-02-10
นครศรีธรรมราช,24.369113125489246,2024-02-10
ประจวบคีรีขันธ์,31.245529191027707,2024-02-10
พระนครศรีอยุธยา,40.67393674448124,2024-02-10
