จังหวัด, PM2.5, วันที่
ตาก,38.43953925469864,2024-02-21
เลย,35.74942742303312,2024-02-21
ตรัง,19.283537870225175,2024-02-21
ตราด,20.8130513786315,2024-02-21
น่าน,41.02144902987098,2024-02-21
ยะลา,14.828590073572844,2024-02-21
สตูล,14.110003057701068,2024-02-21
แพร่,38.45109366223911,2024-02-21
ชุมพร,15.08101213394056,2024-02-21
พะเยา,39.90284701037962,2024-02-21
พังงา,15.701532488383192,2024-02-21
ยโสธร,48.53305535060849,2024-02-21
ระนอง,15.599533590818472,2024-02-21
ระยอง,14.926897785854177,2024-02-21
ลำปาง,39.34225709859918,2024-02-21
ลำพูน,41.095992938661624,2024-02-21
สงขลา,13.834091459489814,2024-02-21
กระบี่,13.562735361612324,2024-02-21
ชลบุรี,16.207810173982207,2024-02-21
ชัยนาท,22.905148866533683,2024-02-21
นครปฐม,16.130495451085554,2024-02-21
นครพนม,48.40102451043063,2024-02-21
บึงกาฬ,40.08020291326191,2024-02-21
พัทลุง,14.134700243010926,2024-02-21
พิจิตร,27.697273077133563,2024-02-21
ภูเก็ต,17.082162531907393,2024-02-21
ลพบุรี,24.123817893493275,2024-02-21
สกลนคร,41.591904238196534,2024-02-21
ขอนแก่น,35.83904281130327,2024-02-21
ชัยภูมิ,32.47333642608785,2024-02-21
นครนายก,17.71255222128639,2024-02-21
นนทบุรี,12.862795640784798,2024-02-21
ปัตตานี,13.943288162384345,2024-02-21
ราชบุรี,18.05891231293818,2024-02-21
สระบุรี,20.41942333418207,2024-02-21
สระแก้ว,21.7163057288491,2024-02-21
สุโขทัย,43.969161765255656,2024-02-21
หนองคาย,49.38567815226147,2024-02-21
อ่างทอง,21.53273077241712,2024-02-21
จันทบุรี,17.955849945650108,2024-02-21
นราธิวาส,14.776556820020183,2024-02-21
ปทุมธานี,14.517984053342689,2024-02-21
พิษณุโลก,35.0835095728181,2024-02-21
มุกดาหาร,49.27528583255289,2024-02-21
ร้อยเอ็ด,42.39080814956186,2024-02-21
ศรีสะเกษ,41.622518725919484,2024-02-21
สุรินทร์,34.76901550824849,2024-02-21
อุดรธานี,42.81922973900381,2024-02-21
เชียงราย,34.075939939975235,2024-02-21
เพชรบุรี,16.221408614787524,2024-02-21
กาญจนบุรี,24.03223948630682,2024-02-21
กาฬสินธุ์,42.757879855679114,2024-02-21
กำแพงเพชร,37.250759573867136,2024-02-21
นครสวรรค์,25.373269757802216,2024-02-21
บุรีรัมย์,28.585118632353467,2024-02-21
มหาสารคาม,37.261042287503486,2024-02-21
สมุทรสาคร,12.54457604569138,2024-02-21
สิงห์บุรี,21.980739022596232,2024-02-21
อุตรดิตถ์,37.58949135367087,2024-02-21
อุทัยธานี,25.427522938636155,2024-02-21
เชียงใหม่,33.96424410272214,2024-02-21
เพชรบูรณ์,31.1420875168969,2024-02-21
ฉะเชิงเทรา,19.652910344602954,2024-02-21
นครราชสีมา,26.615222057932105,2024-02-21
ปราจีนบุรี,22.013223010796413,2024-02-21
สุพรรณบุรี,20.660455707155794,2024-02-21
อำนาจเจริญ,50.320751149581895,2024-02-21
แม่ฮ่องสอน,32.93987114440534,2024-02-21
สมุทรปราการ,13.978358170307509,2024-02-21
สมุทรสงคราม,12.063874619900918,2024-02-21
หนองบัวลำภู,40.21326955600528,2024-02-21
อุบลราชธานี,48.23163184483057,2024-02-21
สุราษฎร์ธานี,13.763115069783352,2024-02-21
กรุงเทพมหานคร,12.411812698490907,2024-02-21
นครศรีธรรมราช,15.815286784090972,2024-02-21
ประจวบคีรีขันธ์,17.354741772824255,2024-02-21
พระนครศรีอยุธยา,17.426228161579637,2024-02-21
