จังหวัด, PM2.5, วันที่
ตาก,31.795098488805987,2024-01-03
เลย,28.000709501850267,2024-01-03
ตรัง,22.044372495358957,2024-01-03
ตราด,16.48516949706446,2024-01-03
น่าน,24.982365004794357,2024-01-03
ยะลา,19.042402499076665,2024-01-03
สตูล,18.958691198644374,2024-01-03
แพร่,23.50255687641417,2024-01-03
ชุมพร,15.454439014884079,2024-01-03
พะเยา,23.034561218107296,2024-01-03
พังงา,18.040039428531376,2024-01-03
ยโสธร,12.453041589786702,2024-01-03
ระนอง,16.520470495790825,2024-01-03
ระยอง,31.502258749831267,2024-01-03
ลำปาง,22.63783845601769,2024-01-03
ลำพูน,21.196320285860185,2024-01-03
สงขลา,19.01845142510039,2024-01-03
กระบี่,15.240212370887786,2024-01-03
ชลบุรี,31.705690081071843,2024-01-03
ชัยนาท,42.89463075041714,2024-01-03
นครปฐม,48.742611021591166,2024-01-03
นครพนม,13.114774656856437,2024-01-03
บึงกาฬ,16.807764707942173,2024-01-03
พัทลุง,19.3237170823186,2024-01-03
พิจิตร,37.83195045749621,2024-01-03
ภูเก็ต,14.229763422449832,2024-01-03
ลพบุรี,38.20162347141618,2024-01-03
สกลนคร,16.76227955755436,2024-01-03
ขอนแก่น,28.73399078688396,2024-01-03
ชัยภูมิ,28.632304444408483,2024-01-03
นครนายก,28.075001186150683,2024-01-03
นนทบุรี,42.87869664176682,2024-01-03
ปัตตานี,15.702274111496173,2024-01-03
ราชบุรี,45.643266618902736,2024-01-03
สระบุรี,37.55998653405972,2024-01-03
สระแก้ว,33.67775128573132,2024-01-03
สุโขทัย,32.884063725929295,2024-01-03
หนองคาย,39.36110778029835,2024-01-03
อ่างทอง,45.41589300648878,2024-01-03
จันทบุรี,26.013786260479893,2024-01-03
นราธิวาส,16.14078887183197,2024-01-03
ปทุมธานี,39.961011678585315,2024-01-03
พิษณุโลก,33.422048193336174,2024-01-03
มุกดาหาร,12.055370965616742,2024-01-03
ร้อยเอ็ด,15.235781938923184,2024-01-03
ศรีสะเกษ,13.550008852660616,2024-01-03
สุรินทร์,19.012530935192686,2024-01-03
อุดรธานี,27.242881106335755,2024-01-03
เชียงราย,20.348049098031478,2024-01-03
เพชรบุรี,40.214133093840815,2024-01-03
กาญจนบุรี,41.434031583706776,2024-01-03
กาฬสินธุ์,18.99990536776457,2024-01-03
กำแพงเพชร,33.46065913444739,2024-01-03
นครสวรรค์,39.689038766916504,2024-01-03
บุรีรัมย์,22.830916764570176,2024-01-03
มหาสารคาม,23.267983776195365,2024-01-03
สมุทรสาคร,56.900330677385675,2024-01-03
สิงห์บุรี,41.41608788278195,2024-01-03
อุตรดิตถ์,27.022212056171696,2024-01-03
อุทัยธานี,40.08662461562023,2024-01-03
เชียงใหม่,14.737761715566664,2024-01-03
เพชรบูรณ์,31.814941511350728,2024-01-03
ฉะเชิงเทรา,34.634347746493226,2024-01-03
นครราชสีมา,32.22670014328403,2024-01-03
ปราจีนบุรี,35.25788203292495,2024-01-03
สุพรรณบุรี,42.48091222190946,2024-01-03
อำนาจเจริญ,10.398978437502686,2024-01-03
แม่ฮ่องสอน,12.825099896384831,2024-01-03
สมุทรปราการ,37.50290506131288,2024-01-03
สมุทรสงคราม,52.729956959060374,2024-01-03
หนองบัวลำภู,22.565269780470732,2024-01-03
อุบลราชธานี,14.584070205288203,2024-01-03
สุราษฎร์ธานี,14.968280241591184,2024-01-03
กรุงเทพมหานคร,39.845127806422575,2024-01-03
นครศรีธรรมราช,16.95528914457444,2024-01-03
ประจวบคีรีขันธ์,33.96366495266352,2024-01-03
พระนครศรีอยุธยา,40.879859699481585,2024-01-03
