จังหวัด, PM2.5, วันที่
ตาก,35.95849068289612,2024-01-20
เลย,43.59107273255919,2024-01-20
ตรัง,26.555006756023577,2024-01-20
ตราด,47.16762843004322,2024-01-20
น่าน,25.33944763255925,2024-01-20
ยะลา,28.22585913513083,2024-01-20
สตูล,23.56792300829621,2024-01-20
แพร่,26.297342502144275,2024-01-20
ชุมพร,19.644984088130403,2024-01-20
พะเยา,18.207948960312432,2024-01-20
พังงา,26.88554133610297,2024-01-20
ยโสธร,35.07776518504233,2024-01-20
ระนอง,20.712177269633212,2024-01-20
ระยอง,57.28903821034102,2024-01-20
ลำปาง,20.793525353609155,2024-01-20
ลำพูน,18.68831083315047,2024-01-20
สงขลา,22.154843756832392,2024-01-20
กระบี่,24.25843160660542,2024-01-20
ชลบุรี,58.54201055522504,2024-01-20
ชัยนาท,76.40200093458867,2024-01-20
นครปฐม,61.90670789103608,2024-01-20
นครพนม,29.105483458636467,2024-01-20
บึงกาฬ,25.733968259314306,2024-01-20
พัทลุง,26.809545421558063,2024-01-20
พิจิตร,45.58797613860286,2024-01-20
ภูเก็ต,29.428114152421145,2024-01-20
ลพบุรี,68.99058032435536,2024-01-20
สกลนคร,30.892815508609765,2024-01-20
ขอนแก่น,42.08120594878464,2024-01-20
ชัยภูมิ,44.002691471923264,2024-01-20
นครนายก,47.76493062344947,2024-01-20
นนทบุรี,60.879527549658135,2024-01-20
ปัตตานี,21.643191894123383,2024-01-20
ราชบุรี,62.061928127323355,2024-01-20
สระบุรี,64.17126941358964,2024-01-20
สระแก้ว,60.45228393244667,2024-01-20
สุโขทัย,37.43957396376768,2024-01-20
หนองคาย,51.026271536997065,2024-01-20
อ่างทอง,88.31492953834531,2024-01-20
จันทบุรี,50.162608855308996,2024-01-20
นราธิวาส,22.81773721469835,2024-01-20
ปทุมธานี,63.74007888202685,2024-01-20
พิษณุโลก,39.94815155299816,2024-01-20
มุกดาหาร,29.34338360839686,2024-01-20
ร้อยเอ็ด,34.807759613583414,2024-01-20
ศรีสะเกษ,40.436258774403406,2024-01-20
สุรินทร์,40.18734050051234,2024-01-20
อุดรธานี,42.191861336462175,2024-01-20
เชียงราย,13.354871912495984,2024-01-20
เพชรบุรี,58.017590490766736,2024-01-20
กาญจนบุรี,58.48586405477365,2024-01-20
กาฬสินธุ์,41.12030003974411,2024-01-20
กำแพงเพชร,38.15384136165009,2024-01-20
นครสวรรค์,59.604220805613664,2024-01-20
บุรีรัมย์,42.05418327583237,2024-01-20
มหาสารคาม,40.41926038783728,2024-01-20
สมุทรสาคร,66.76292988666086,2024-01-20
สิงห์บุรี,86.8930729452456,2024-01-20
อุตรดิตถ์,34.00164342166193,2024-01-20
อุทัยธานี,60.508584877373096,2024-01-20
เชียงใหม่,13.159941294774923,2024-01-20
เพชรบูรณ์,47.37671117996852,2024-01-20
ฉะเชิงเทรา,61.40075563697858,2024-01-20
นครราชสีมา,52.232809708979055,2024-01-20
ปราจีนบุรี,62.25712570911464,2024-01-20
สุพรรณบุรี,68.97153023534136,2024-01-20
อำนาจเจริญ,29.42040347504462,2024-01-20
แม่ฮ่องสอน,12.009168635799071,2024-01-20
สมุทรปราการ,63.37333027671625,2024-01-20
สมุทรสงคราม,68.90945470814091,2024-01-20
หนองบัวลำภู,38.77898748524268,2024-01-20
อุบลราชธานี,44.594595526401584,2024-01-20
สุราษฎร์ธานี,26.250874234781307,2024-01-20
กรุงเทพมหานคร,58.70171062065751,2024-01-20
นครศรีธรรมราช,26.523073013054603,2024-01-20
ประจวบคีรีขันธ์,52.75095971007136,2024-01-20
พระนครศรีอยุธยา,68.8923233920062,2024-01-20
