จังหวัด, PM2.5, วันที่
ตาก,36.06548679833378,2024-01-15
เลย,22.84479291500929,2024-01-15
ตรัง,21.336253217910777,2024-01-15
ตราด,28.96511650245283,2024-01-15
น่าน,30.025931113903273,2024-01-15
ยะลา,25.049220411535646,2024-01-15
สตูล,21.907748176446624,2024-01-15
แพร่,27.22436596370216,2024-01-15
ชุมพร,19.70128573817069,2024-01-15
พะเยา,28.247389727425084,2024-01-15
พังงา,22.365044529898924,2024-01-15
ยโสธร,9.051530750273317,2024-01-15
ระนอง,19.757178904048757,2024-01-15
ระยอง,45.6273787647933,2024-01-15
ลำปาง,29.711806830743402,2024-01-15
ลำพูน,31.334588533219282,2024-01-15
สงขลา,22.12320847616276,2024-01-15
กระบี่,25.332133858185507,2024-01-15
ชลบุรี,45.8367430766594,2024-01-15
ชัยนาท,34.513558252511416,2024-01-15
นครปฐม,49.18635752027548,2024-01-15
นครพนม,8.921986455163069,2024-01-15
บึงกาฬ,8.718025370167448,2024-01-15
พัทลุง,19.108687717319857,2024-01-15
พิจิตร,31.96689667277553,2024-01-15
ภูเก็ต,14.043182249019534,2024-01-15
ลพบุรี,35.89883022644573,2024-01-15
สกลนคร,9.327906523970213,2024-01-15
ขอนแก่น,14.100521910124312,2024-01-15
ชัยภูมิ,21.712033257859012,2024-01-15
นครนายก,31.63717003500538,2024-01-15
นนทบุรี,46.24422944151107,2024-01-15
ปัตตานี,21.393825433174023,2024-01-15
ราชบุรี,58.87005935343089,2024-01-15
สระบุรี,35.1212782250974,2024-01-15
สระแก้ว,43.813473232839776,2024-01-15
สุโขทัย,39.97596624699217,2024-01-15
หนองคาย,12.724785721453683,2024-01-15
อ่างทอง,42.107280489938404,2024-01-15
จันทบุรี,37.54675640485048,2024-01-15
นราธิวาส,23.237362449213453,2024-01-15
ปทุมธานี,44.74569729026304,2024-01-15
พิษณุโลก,33.87824565851264,2024-01-15
มุกดาหาร,10.916943540173122,2024-01-15
ร้อยเอ็ด,10.306729471290593,2024-01-15
ศรีสะเกษ,13.03129621092965,2024-01-15
สุรินทร์,18.657888451461883,2024-01-15
อุดรธานี,10.607460158567324,2024-01-15
เชียงราย,28.728943195448803,2024-01-15
เพชรบุรี,51.69085494809909,2024-01-15
กาญจนบุรี,45.24351557962914,2024-01-15
กาฬสินธุ์,10.814634133452314,2024-01-15
กำแพงเพชร,35.68798725639665,2024-01-15
นครสวรรค์,32.9148594917115,2024-01-15
บุรีรัมย์,22.437540378963657,2024-01-15
มหาสารคาม,12.909379067982135,2024-01-15
สมุทรสาคร,63.75035033606677,2024-01-15
สิงห์บุรี,36.062720089168764,2024-01-15
อุตรดิตถ์,31.134402020330842,2024-01-15
อุทัยธานี,36.915813229929704,2024-01-15
เชียงใหม่,25.78147036910904,2024-01-15
เพชรบูรณ์,26.314566010020446,2024-01-15
ฉะเชิงเทรา,44.30680554463329,2024-01-15
นครราชสีมา,30.39923945027754,2024-01-15
ปราจีนบุรี,41.17156927204357,2024-01-15
สุพรรณบุรี,39.27599226200233,2024-01-15
อำนาจเจริญ,8.590730865465776,2024-01-15
แม่ฮ่องสอน,21.630003504214017,2024-01-15
สมุทรปราการ,42.53136937820525,2024-01-15
สมุทรสงคราม,70.72225880693435,2024-01-15
หนองบัวลำภู,11.253396766825778,2024-01-15
อุบลราชธานี,13.48919736665346,2024-01-15
สุราษฎร์ธานี,25.813823302094498,2024-01-15
กรุงเทพมหานคร,41.16604415484848,2024-01-15
นครศรีธรรมราช,24.33443624800935,2024-01-15
ประจวบคีรีขันธ์,44.735395234974376,2024-01-15
พระนครศรีอยุธยา,38.70582479940972,2024-01-15
