จังหวัด, PM2.5, วันที่
ตาก,50.5787577247147,2024-02-06
เลย,47.25166654359179,2024-02-06
ตรัง,29.919797934857836,2024-02-06
ตราด,25.236455120270573,2024-02-06
น่าน,45.94822516692837,2024-02-06
ยะลา,38.51995959899079,2024-02-06
สตูล,24.862878684232573,2024-02-06
แพร่,52.04444518614612,2024-02-06
ชุมพร,27.4177538485568,2024-02-06
พะเยา,53.94353547031243,2024-02-06
พังงา,27.09880633752532,2024-02-06
ยโสธร,68.97002847343,2024-02-06
ระนอง,28.472536498339625,2024-02-06
ระยอง,20.855138687477496,2024-02-06
ลำปาง,50.06397061449463,2024-02-06
ลำพูน,35.29795744379081,2024-02-06
สงขลา,36.191685063127025,2024-02-06
กระบี่,23.68087664822279,2024-02-06
ชลบุรี,23.04957697841492,2024-02-06
ชัยนาท,63.79045727266777,2024-02-06
นครปฐม,45.37325032134759,2024-02-06
นครพนม,62.429515654124025,2024-02-06
บึงกาฬ,38.87206482858738,2024-02-06
พัทลุง,26.413434095501557,2024-02-06
พิจิตร,51.291457868503194,2024-02-06
ภูเก็ต,24.870564514908935,2024-02-06
ลพบุรี,51.18589026820397,2024-02-06
สกลนคร,54.53373381442138,2024-02-06
ขอนแก่น,60.17610111367094,2024-02-06
ชัยภูมิ,57.12031932223007,2024-02-06
นครนายก,30.64364388458443,2024-02-06
นนทบุรี,28.284139382498477,2024-02-06
ปัตตานี,32.556036947654235,2024-02-06
ราชบุรี,50.02775172320274,2024-02-06
สระบุรี,46.44517260551878,2024-02-06
สระแก้ว,35.818658000141596,2024-02-06
สุโขทัย,53.517926258477594,2024-02-06
หนองคาย,62.279723611707475,2024-02-06
อ่างทอง,58.86867606532593,2024-02-06
จันทบุรี,26.13306706225988,2024-02-06
นราธิวาส,29.40518377774787,2024-02-06
ปทุมธานี,29.993214287774705,2024-02-06
พิษณุโลก,49.263584020006896,2024-02-06
มุกดาหาร,75.05206244106202,2024-02-06
ร้อยเอ็ด,65.44864024925198,2024-02-06
ศรีสะเกษ,56.10722954525981,2024-02-06
สุรินทร์,56.37819388149709,2024-02-06
อุดรธานี,57.28220824899043,2024-02-06
เชียงราย,43.59671675613311,2024-02-06
เพชรบุรี,37.683137002233686,2024-02-06
กาญจนบุรี,50.11927104511112,2024-02-06
กาฬสินธุ์,68.38525850348636,2024-02-06
กำแพงเพชร,48.709721447730864,2024-02-06
นครสวรรค์,59.374831457320866,2024-02-06
บุรีรัมย์,49.13022486193509,2024-02-06
มหาสารคาม,61.89583537561817,2024-02-06
สมุทรสาคร,42.67877079317914,2024-02-06
สิงห์บุรี,58.743203416005954,2024-02-06
อุตรดิตถ์,47.722015046667636,2024-02-06
อุทัยธานี,55.02756807383557,2024-02-06
เชียงใหม่,27.376751734817894,2024-02-06
เพชรบูรณ์,47.79480732341224,2024-02-06
ฉะเชิงเทรา,31.656939871595092,2024-02-06
นครราชสีมา,48.81159839188276,2024-02-06
ปราจีนบุรี,42.072516593880444,2024-02-06
สุพรรณบุรี,49.86792713818369,2024-02-06
อำนาจเจริญ,64.72517321439678,2024-02-06
แม่ฮ่องสอน,25.6028165507152,2024-02-06
สมุทรปราการ,21.384667444907713,2024-02-06
สมุทรสงคราม,52.928803345479096,2024-02-06
หนองบัวลำภู,57.666447085509404,2024-02-06
อุบลราชธานี,66.00172737945839,2024-02-06
สุราษฎร์ธานี,24.833740587111716,2024-02-06
กรุงเทพมหานคร,24.08711104113664,2024-02-06
นครศรีธรรมราช,27.57740827653028,2024-02-06
ประจวบคีรีขันธ์,32.63536386185449,2024-02-06
พระนครศรีอยุธยา,42.269752578525306,2024-02-06
