จังหวัด, PM2.5, วันที่
ตาก,53.38713067082974,2024-02-12
เลย,50.129163170264185,2024-02-12
ตรัง,34.311821766595436,2024-02-12
ตราด,56.277495777456096,2024-02-12
น่าน,46.21143215577406,2024-02-12
ยะลา,32.892779882035825,2024-02-12
สตูล,25.998821162050437,2024-02-12
แพร่,48.35664589109713,2024-02-12
ชุมพร,23.564763246743333,2024-02-12
พะเยา,45.1649089537159,2024-02-12
พังงา,28.739561566859226,2024-02-12
ยโสธร,31.67342993006595,2024-02-12
ระนอง,25.097597129317457,2024-02-12
ระยอง,47.89800464267822,2024-02-12
ลำปาง,46.51790445551234,2024-02-12
ลำพูน,44.15125278995436,2024-02-12
สงขลา,36.826448237371835,2024-02-12
กระบี่,23.87774028283251,2024-02-12
ชลบุรี,48.61925553472873,2024-02-12
ชัยนาท,59.34004282407517,2024-02-12
นครปฐม,64.08122468974709,2024-02-12
นครพนม,34.05907917019691,2024-02-12
บึงกาฬ,36.789928835368556,2024-02-12
พัทลุง,39.331386626763205,2024-02-12
พิจิตร,59.09444406171149,2024-02-12
ภูเก็ต,27.12112544675013,2024-02-12
ลพบุรี,54.58691106417027,2024-02-12
สกลนคร,34.460988356713116,2024-02-12
ขอนแก่น,44.48724615499425,2024-02-12
ชัยภูมิ,47.526693793399225,2024-02-12
นครนายก,47.676041848589676,2024-02-12
นนทบุรี,65.25163453829366,2024-02-12
ปัตตานี,34.62007714411986,2024-02-12
ราชบุรี,67.02181266643443,2024-02-12
สระบุรี,52.814774623541425,2024-02-12
สระแก้ว,48.782565671443066,2024-02-12
สุโขทัย,62.09943962465819,2024-02-12
หนองคาย,47.96046188494867,2024-02-12
อ่างทอง,63.67864556443144,2024-02-12
จันทบุรี,47.8959675048445,2024-02-12
นราธิวาส,26.101037767001692,2024-02-12
ปทุมธานี,61.93626155027609,2024-02-12
พิษณุโลก,55.5685583853929,2024-02-12
มุกดาหาร,39.0874040318137,2024-02-12
ร้อยเอ็ด,37.909283213086745,2024-02-12
ศรีสะเกษ,32.77844636595119,2024-02-12
สุรินทร์,39.153299946311826,2024-02-12
อุดรธานี,45.30652867406178,2024-02-12
เชียงราย,41.417792411715666,2024-02-12
เพชรบุรี,61.89685312362211,2024-02-12
กาญจนบุรี,60.31067576263144,2024-02-12
กาฬสินธุ์,41.44594271133024,2024-02-12
กำแพงเพชร,58.41904566342195,2024-02-12
นครสวรรค์,61.692787576734474,2024-02-12
บุรีรัมย์,41.25802764164065,2024-02-12
มหาสารคาม,42.782253138224604,2024-02-12
สมุทรสาคร,72.88353629439258,2024-02-12
สิงห์บุรี,53.75788471581509,2024-02-12
อุตรดิตถ์,49.982263384006195,2024-02-12
อุทัยธานี,60.699609698801005,2024-02-12
เชียงใหม่,35.763633789368996,2024-02-12
เพชรบูรณ์,53.12283951224451,2024-02-12
ฉะเชิงเทรา,54.1128877361591,2024-02-12
นครราชสีมา,47.97521106045297,2024-02-12
ปราจีนบุรี,52.88096229061365,2024-02-12
สุพรรณบุรี,57.80053160708909,2024-02-12
อำนาจเจริญ,28.980986090788058,2024-02-12
แม่ฮ่องสอน,32.30540172540515,2024-02-12
สมุทรปราการ,62.031639216864626,2024-02-12
สมุทรสงคราม,75.76060967944034,2024-02-12
หนองบัวลำภู,46.417242625336726,2024-02-12
อุบลราชธานี,35.85718046248899,2024-02-12
สุราษฎร์ธานี,25.99467039446726,2024-02-12
กรุงเทพมหานคร,64.3271040681229,2024-02-12
นครศรีธรรมราช,27.794683280541694,2024-02-12
ประจวบคีรีขันธ์,54.147410203595165,2024-02-12
พระนครศรีอยุธยา,59.09964923688074,2024-02-12
