จังหวัด, PM2.5, วันที่
ตาก,46.323485945796996,2024-01-09
เลย,37.838380498073796,2024-01-09
ตรัง,26.299206847680498,2024-01-09
ตราด,36.49484660544591,2024-01-09
น่าน,33.912930134452374,2024-01-09
ยะลา,26.2445761146586,2024-01-09
สตูล,28.085242247007017,2024-01-09
แพร่,38.1690559907661,2024-01-09
ชุมพร,16.075288206027523,2024-01-09
พะเยา,30.17400662506577,2024-01-09
พังงา,20.94954311336031,2024-01-09
ยโสธร,28.468269735907924,2024-01-09
ระนอง,18.645948421926402,2024-01-09
ระยอง,47.79321357019532,2024-01-09
ลำปาง,34.4034786487813,2024-01-09
ลำพูน,28.956730862426294,2024-01-09
สงขลา,31.034435585950988,2024-01-09
กระบี่,18.32725717617014,2024-01-09
ชลบุรี,58.66733788509994,2024-01-09
ชัยนาท,76.7229163360011,2024-01-09
นครปฐม,79.17085864399341,2024-01-09
นครพนม,29.81715566449546,2024-01-09
บึงกาฬ,27.054039530409906,2024-01-09
พัทลุง,31.696866084463377,2024-01-09
พิจิตร,56.766150680899884,2024-01-09
ภูเก็ต,19.968769398247844,2024-01-09
ลพบุรี,70.82363734050693,2024-01-09
สกลนคร,29.00997043348087,2024-01-09
ขอนแก่น,42.05048850035117,2024-01-09
ชัยภูมิ,45.717502617057896,2024-01-09
นครนายก,56.12543978446852,2024-01-09
นนทบุรี,83.92045272651738,2024-01-09
ปัตตานี,26.19441234797776,2024-01-09
ราชบุรี,76.45849313087912,2024-01-09
สระบุรี,68.26368704169435,2024-01-09
สระแก้ว,56.2637974845222,2024-01-09
สุโขทัย,60.079140954003456,2024-01-09
หนองคาย,39.21845301200628,2024-01-09
อ่างทอง,84.02722195065921,2024-01-09
จันทบุรี,45.85520710140792,2024-01-09
นราธิวาส,22.750048972196222,2024-01-09
ปทุมธานี,78.63347751279267,2024-01-09
พิษณุโลก,51.90712755512788,2024-01-09
มุกดาหาร,27.757932692709858,2024-01-09
ร้อยเอ็ด,32.968844023205,2024-01-09
ศรีสะเกษ,32.801369024526814,2024-01-09
สุรินทร์,36.90807350952448,2024-01-09
อุดรธานี,34.58572855536947,2024-01-09
เชียงราย,23.043389378801905,2024-01-09
เพชรบุรี,69.85979561212564,2024-01-09
กาญจนบุรี,67.50139675965876,2024-01-09
กาฬสินธุ์,35.54899219846928,2024-01-09
กำแพงเพชร,53.17567294500261,2024-01-09
นครสวรรค์,64.29876720869446,2024-01-09
บุรีรัมย์,38.71105784526039,2024-01-09
มหาสารคาม,39.293768498393376,2024-01-09
สมุทรสาคร,89.82808612953421,2024-01-09
สิงห์บุรี,78.42876075228862,2024-01-09
อุตรดิตถ์,47.08778810676048,2024-01-09
อุทัยธานี,66.1209734831027,2024-01-09
เชียงใหม่,17.798015115545205,2024-01-09
เพชรบูรณ์,50.477459943711104,2024-01-09
ฉะเชิงเทรา,64.8531934202112,2024-01-09
นครราชสีมา,53.80950723447686,2024-01-09
ปราจีนบุรี,61.43753069446879,2024-01-09
สุพรรณบุรี,71.26395929479102,2024-01-09
อำนาจเจริญ,21.25146413032892,2024-01-09
แม่ฮ่องสอน,17.000139661975204,2024-01-09
สมุทรปราการ,71.79525594041831,2024-01-09
สมุทรสงคราม,91.53493345305495,2024-01-09
หนองบัวลำภู,32.40885632021465,2024-01-09
อุบลราชธานี,35.44148445197745,2024-01-09
สุราษฎร์ธานี,19.194969683650754,2024-01-09
กรุงเทพมหานคร,78.82490672641954,2024-01-09
นครศรีธรรมราช,19.740423650567692,2024-01-09
ประจวบคีรีขันธ์,57.18051738546938,2024-01-09
พระนครศรีอยุธยา,75.4147067679404,2024-01-09
