จังหวัด, PM2.5, วันที่
ตาก,55.6339150349695,2024-02-08
เลย,58.16574605930406,2024-02-08
ตรัง,27.697874125446003,2024-02-08
ตราด,26.52685702240621,2024-02-08
น่าน,57.737351313744384,2024-02-08
ยะลา,29.298838286572707,2024-02-08
สตูล,23.258701498366104,2024-02-08
แพร่,55.83691215922392,2024-02-08
ชุมพร,23.410250310419443,2024-02-08
พะเยา,56.04705167525621,2024-02-08
พังงา,26.193828728072624,2024-02-08
ยโสธร,84.05427930633249,2024-02-08
ระนอง,21.459265815006862,2024-02-08
ระยอง,18.68584650285981,2024-02-08
ลำปาง,56.02402250472336,2024-02-08
ลำพูน,49.06586726456347,2024-02-08
สงขลา,29.12856412780522,2024-02-08
กระบี่,21.825815673560577,2024-02-08
ชลบุรี,19.98168606098847,2024-02-08
ชัยนาท,83.50112328394208,2024-02-08
นครปฐม,29.689833159635786,2024-02-08
นครพนม,61.30871629972048,2024-02-08
บึงกาฬ,50.724352897185604,2024-02-08
พัทลุง,28.928232796458126,2024-02-08
พิจิตร,61.73089757804083,2024-02-08
ภูเก็ต,28.057228799033826,2024-02-08
ลพบุรี,54.250005124324005,2024-02-08
สกลนคร,61.402777910320424,2024-02-08
ขอนแก่น,72.99165667768058,2024-02-08
ชัยภูมิ,68.52785190449276,2024-02-08
นครนายก,29.266400968301813,2024-02-08
นนทบุรี,20.277267560591984,2024-02-08
ปัตตานี,25.05936051712252,2024-02-08
ราชบุรี,32.41337763192719,2024-02-08
สระบุรี,40.53823887442192,2024-02-08
สระแก้ว,34.22086007924225,2024-02-08
สุโขทัย,66.60705305013292,2024-02-08
หนองคาย,68.39871530215768,2024-02-08
อ่างทอง,68.45748392709412,2024-02-08
จันทบุรี,24.364498943424966,2024-02-08
นราธิวาส,24.401137267411,2024-02-08
ปทุมธานี,23.929784717783296,2024-02-08
พิษณุโลก,61.26992050774674,2024-02-08
มุกดาหาร,80.83174387586922,2024-02-08
ร้อยเอ็ด,80.56296681345344,2024-02-08
ศรีสะเกษ,64.1417711266599,2024-02-08
สุรินทร์,59.26425384494931,2024-02-08
อุดรธานี,64.41337944475119,2024-02-08
เชียงราย,55.12272488781846,2024-02-08
เพชรบุรี,25.376205565859845,2024-02-08
กาญจนบุรี,48.75384489451121,2024-02-08
กาฬสินธุ์,83.29345490024816,2024-02-08
กำแพงเพชร,57.853376267961245,2024-02-08
นครสวรรค์,69.41794730115605,2024-02-08
บุรีรัมย์,54.23187958967606,2024-02-08
มหาสารคาม,76.00838190837905,2024-02-08
สมุทรสาคร,20.235781964351997,2024-02-08
สิงห์บุรี,68.15143316986831,2024-02-08
อุตรดิตถ์,57.37143971687784,2024-02-08
อุทัยธานี,63.10457358735412,2024-02-08
เชียงใหม่,41.74176114381939,2024-02-08
เพชรบูรณ์,63.02766737840165,2024-02-08
ฉะเชิงเทรา,27.927463343483993,2024-02-08
นครราชสีมา,53.26009260346884,2024-02-08
ปราจีนบุรี,38.02559331076256,2024-02-08
สุพรรณบุรี,56.80451952215713,2024-02-08
อำนาจเจริญ,80.22541776044304,2024-02-08
แม่ฮ่องสอน,40.38179286799719,2024-02-08
สมุทรปราการ,16.495664968633665,2024-02-08
สมุทรสงคราม,22.053444245526723,2024-02-08
หนองบัวลำภู,62.99886229766335,2024-02-08
อุบลราชธานี,73.24983414973069,2024-02-08
สุราษฎร์ธานี,21.89125891860602,2024-02-08
กรุงเทพมหานคร,17.704453871922784,2024-02-08
นครศรีธรรมราช,24.19157897508817,2024-02-08
ประจวบคีรีขันธ์,25.14846355172667,2024-02-08
พระนครศรีอยุธยา,39.74137989106964,2024-02-08
