จังหวัด, PM2.5, วันที่
ตาก,38.622961805044596,2024-02-20
เลย,36.67996794243475,2024-02-20
ตรัง,18.51322370488697,2024-02-20
ตราด,18.489183772950515,2024-02-20
น่าน,45.3451692883933,2024-02-20
ยะลา,15.695009608814571,2024-02-20
สตูล,15.685921771527413,2024-02-20
แพร่,41.266381215690316,2024-02-20
ชุมพร,14.481437793692582,2024-02-20
พะเยา,43.64243807295302,2024-02-20
พังงา,15.258797534465135,2024-02-20
ยโสธร,48.9678319542079,2024-02-20
ระนอง,14.53818861353466,2024-02-20
ระยอง,12.27142507995022,2024-02-20
ลำปาง,43.384674301001255,2024-02-20
ลำพูน,43.972130549205446,2024-02-20
สงขลา,15.564055757074264,2024-02-20
กระบี่,14.912099979030184,2024-02-20
ชลบุรี,13.576450824828955,2024-02-20
ชัยนาท,23.603387433800382,2024-02-20
นครปฐม,13.457093824841017,2024-02-20
นครพนม,53.92371963098589,2024-02-20
บึงกาฬ,42.02783977852919,2024-02-20
พัทลุง,17.40400701724022,2024-02-20
พิจิตร,28.8836034002753,2024-02-20
ภูเก็ต,18.26962732584081,2024-02-20
ลพบุรี,21.732775375955306,2024-02-20
สกลนคร,43.256349855658556,2024-02-20
ขอนแก่น,37.78579094569892,2024-02-20
ชัยภูมิ,32.35419744451998,2024-02-20
นครนายก,14.837559590723714,2024-02-20
นนทบุรี,10.577863507906853,2024-02-20
ปัตตานี,14.339199510604837,2024-02-20
ราชบุรี,15.122728671785755,2024-02-20
สระบุรี,17.024174228039882,2024-02-20
สระแก้ว,20.596929965070604,2024-02-20
สุโขทัย,42.186627122576574,2024-02-20
หนองคาย,46.85480035936956,2024-02-20
อ่างทอง,19.166018480880503,2024-02-20
จันทบุรี,15.895620005690473,2024-02-20
นราธิวาส,15.326200182627367,2024-02-20
ปทุมธานี,12.096973552325784,2024-02-20
พิษณุโลก,34.423643795732325,2024-02-20
มุกดาหาร,51.21853978505325,2024-02-20
ร้อยเอ็ด,44.78085336566809,2024-02-20
ศรีสะเกษ,42.78577817112928,2024-02-20
สุรินทร์,35.92700677890938,2024-02-20
อุดรธานี,41.88496714810914,2024-02-20
เชียงราย,35.2766967368843,2024-02-20
เพชรบุรี,13.802329856031545,2024-02-20
กาญจนบุรี,22.647279568343972,2024-02-20
กาฬสินธุ์,46.03140752475252,2024-02-20
กำแพงเพชร,33.49033943028177,2024-02-20
นครสวรรค์,24.47814130699998,2024-02-20
บุรีรัมย์,30.20270302832835,2024-02-20
มหาสารคาม,40.50546539090799,2024-02-20
สมุทรสาคร,10.014235213345556,2024-02-20
สิงห์บุรี,20.929045692215784,2024-02-20
อุตรดิตถ์,39.19842308168124,2024-02-20
อุทัยธานี,25.090053759124178,2024-02-20
เชียงใหม่,35.7320464623946,2024-02-20
เพชรบูรณ์,31.12592418465702,2024-02-20
ฉะเชิงเทรา,16.673567650976878,2024-02-20
นครราชสีมา,26.36946490808817,2024-02-20
ปราจีนบุรี,22.42317284789341,2024-02-20
สุพรรณบุรี,19.041041485725625,2024-02-20
อำนาจเจริญ,52.363282823461795,2024-02-20
แม่ฮ่องสอน,35.941534528916485,2024-02-20
สมุทรปราการ,10.358280328627426,2024-02-20
สมุทรสงคราม,9.609416943561198,2024-02-20
หนองบัวลำภู,40.23625996450215,2024-02-20
อุบลราชธานี,49.285006357837815,2024-02-20
สุราษฎร์ธานี,13.72919178761221,2024-02-20
กรุงเทพมหานคร,9.945062676516168,2024-02-20
นครศรีธรรมราช,15.359384664074904,2024-02-20
ประจวบคีรีขันธ์,14.500941549316494,2024-02-20
พระนครศรีอยุธยา,14.296239211063304,2024-02-20
