จังหวัด, PM2.5, วันที่
ตาก,53.52909272767034,2024-02-13
เลย,55.760839529841164,2024-02-13
ตรัง,30.58898912873412,2024-02-13
ตราด,66.00534134370696,2024-02-13
น่าน,48.02729880830895,2024-02-13
ยะลา,29.73798681905507,2024-02-13
สตูล,29.405130698649717,2024-02-13
แพร่,51.116425762572625,2024-02-13
ชุมพร,17.901350891626752,2024-02-13
พะเยา,47.80938399080478,2024-02-13
พังงา,24.420623191796114,2024-02-13
ยโสธร,40.58374719998363,2024-02-13
ระนอง,20.531678026101886,2024-02-13
ระยอง,56.411225953924706,2024-02-13
ลำปาง,47.642411738933546,2024-02-13
ลำพูน,44.417067167897095,2024-02-13
สงขลา,31.440085836768983,2024-02-13
กระบี่,22.068494315242074,2024-02-13
ชลบุรี,60.34550668469809,2024-02-13
ชัยนาท,62.71676438792129,2024-02-13
นครปฐม,77.42115334546777,2024-02-13
นครพนม,33.507142778064065,2024-02-13
บึงกาฬ,40.2598004053209,2024-02-13
พัทลุง,29.466380429563078,2024-02-13
พิจิตร,64.75606853494195,2024-02-13
ภูเก็ต,21.707441839851583,2024-02-13
ลพบุรี,66.43320870984238,2024-02-13
สกลนคร,35.96606021604928,2024-02-13
ขอนแก่น,51.21622999829813,2024-02-13
ชัยภูมิ,54.40324352117323,2024-02-13
นครนายก,58.063436510448355,2024-02-13
นนทบุรี,78.32687504771887,2024-02-13
ปัตตานี,30.74891083214715,2024-02-13
ราชบุรี,79.3268076128,2024-02-13
สระบุรี,65.22914128405598,2024-02-13
สระแก้ว,60.943825256610324,2024-02-13
สุโขทัย,67.15334420843975,2024-02-13
หนองคาย,46.91163542593093,2024-02-13
อ่างทอง,76.10756487132204,2024-02-13
จันทบุรี,57.37637741884429,2024-02-13
นราธิวาส,27.520485711354105,2024-02-13
ปทุมธานี,76.08121275573136,2024-02-13
พิษณุโลก,61.69048105251221,2024-02-13
มุกดาหาร,38.54314793009281,2024-02-13
ร้อยเอ็ด,45.81930469441328,2024-02-13
ศรีสะเกษ,44.286622432863496,2024-02-13
สุรินทร์,50.67971612168719,2024-02-13
อุดรธานี,45.91751164530329,2024-02-13
เชียงราย,44.69539790156081,2024-02-13
เพชรบุรี,72.0246148084382,2024-02-13
กาญจนบุรี,68.25643675327758,2024-02-13
กาฬสินธุ์,42.9281441891426,2024-02-13
กำแพงเพชร,61.93981038778973,2024-02-13
นครสวรรค์,65.90669198863543,2024-02-13
บุรีรัมย์,51.73832110020239,2024-02-13
มหาสารคาม,49.29576696684909,2024-02-13
สมุทรสาคร,88.01326167479802,2024-02-13
สิงห์บุรี,70.47304455702981,2024-02-13
อุตรดิตถ์,55.22723798459483,2024-02-13
อุทัยธานี,63.864095599227944,2024-02-13
เชียงใหม่,32.78386394671251,2024-02-13
เพชรบูรณ์,60.79856742681239,2024-02-13
ฉะเชิงเทรา,66.25635624204217,2024-02-13
นครราชสีมา,58.55808877239354,2024-02-13
ปราจีนบุรี,63.423231635891874,2024-02-13
สุพรรณบุรี,68.58948184072919,2024-02-13
อำนาจเจริญ,35.18727761289059,2024-02-13
แม่ฮ่องสอน,30.03623094856093,2024-02-13
สมุทรปราการ,77.44888154258463,2024-02-13
สมุทรสงคราม,90.03600550952511,2024-02-13
หนองบัวลำภู,51.31341201491551,2024-02-13
อุบลราชธานี,46.46369734885113,2024-02-13
สุราษฎร์ธานี,23.526107443606286,2024-02-13
กรุงเทพมหานคร,78.37720809329248,2024-02-13
นครศรีธรรมราช,24.399837863355543,2024-02-13
ประจวบคีรีขันธ์,61.94628788218019,2024-02-13
พระนครศรีอยุธยา,73.3305481659953,2024-02-13
