จังหวัด, PM2.5, วันที่
ตาก,45.4110258088621,2024-01-12
เลย,41.5368082226529,2024-01-12
ตรัง,20.404824525849765,2024-01-12
ตราด,24.75541478716386,2024-01-12
น่าน,51.70166352305127,2024-01-12
ยะลา,25.577984697246325,2024-01-12
สตูล,20.699552714812178,2024-01-12
แพร่,55.789816588073116,2024-01-12
ชุมพร,20.336730222723055,2024-01-12
พะเยา,40.1599952196173,2024-01-12
พังงา,22.810732737842706,2024-01-12
ยโสธร,24.719005278181392,2024-01-12
ระนอง,20.401126923189604,2024-01-12
ระยอง,27.582111080159475,2024-01-12
ลำปาง,42.76805897442076,2024-01-12
ลำพูน,28.384770665345716,2024-01-12
สงขลา,23.480446635161766,2024-01-12
กระบี่,19.12396865373797,2024-01-12
ชลบุรี,30.812442657028157,2024-01-12
ชัยนาท,69.68100942624639,2024-01-12
นครปฐม,36.09644821946141,2024-01-12
นครพนม,20.385627344057117,2024-01-12
บึงกาฬ,22.324123991460144,2024-01-12
พัทลุง,26.841625635048832,2024-01-12
พิจิตร,56.20767859638465,2024-01-12
ภูเก็ต,23.113678500499258,2024-01-12
ลพบุรี,60.37291050505037,2024-01-12
สกลนคร,21.54806840243859,2024-01-12
ขอนแก่น,33.45928624418338,2024-01-12
ชัยภูมิ,40.550918270568,2024-01-12
นครนายก,42.12520347560186,2024-01-12
นนทบุรี,34.91655688813719,2024-01-12
ปัตตานี,21.87294321894772,2024-01-12
ราชบุรี,41.51020239182625,2024-01-12
สระบุรี,56.83455706506192,2024-01-12
สระแก้ว,42.1921730412512,2024-01-12
สุโขทัย,69.24620341924204,2024-01-12
หนองคาย,31.71476811960498,2024-01-12
อ่างทอง,73.19043970569533,2024-01-12
จันทบุรี,31.144940022003517,2024-01-12
นราธิวาส,23.464837001039996,2024-01-12
ปทุมธานี,39.43140274919036,2024-01-12
พิษณุโลก,59.26019020542254,2024-01-12
มุกดาหาร,21.524179276220572,2024-01-12
ร้อยเอ็ด,26.56509207562558,2024-01-12
ศรีสะเกษ,31.58334142122985,2024-01-12
สุรินทร์,39.030735503724735,2024-01-12
อุดรธานี,28.931982909842514,2024-01-12
เชียงราย,31.033513738056875,2024-01-12
เพชรบุรี,35.44145909393401,2024-01-12
กาญจนบุรี,44.8748443202592,2024-01-12
กาฬสินธุ์,28.412476973621363,2024-01-12
กำแพงเพชร,54.15188735086145,2024-01-12
นครสวรรค์,59.39776709860771,2024-01-12
บุรีรัมย์,40.73320066049323,2024-01-12
มหาสารคาม,31.27650375737595,2024-01-12
สมุทรสาคร,32.12364058165571,2024-01-12
สิงห์บุรี,73.94850240605312,2024-01-12
อุตรดิตถ์,59.215209142650465,2024-01-12
อุทัยธานี,56.0353610335936,2024-01-12
เชียงใหม่,17.931714292230517,2024-01-12
เพชรบูรณ์,48.61432862288104,2024-01-12
ฉะเชิงเทรา,39.257931977725036,2024-01-12
นครราชสีมา,44.022146858217035,2024-01-12
ปราจีนบุรี,46.626500782559354,2024-01-12
สุพรรณบุรี,51.405064715949344,2024-01-12
อำนาจเจริญ,19.075989341451695,2024-01-12
แม่ฮ่องสอน,17.797968659633522,2024-01-12
สมุทรปราการ,27.040039199575972,2024-01-12
สมุทรสงคราม,44.740705763950096,2024-01-12
หนองบัวลำภู,33.77859778362548,2024-01-12
อุบลราชธานี,32.12875021988703,2024-01-12
สุราษฎร์ธานี,20.549552279636433,2024-01-12
กรุงเทพมหานคร,30.155301450667302,2024-01-12
นครศรีธรรมราช,20.268001598350967,2024-01-12
ประจวบคีรีขันธ์,31.67099302519578,2024-01-12
พระนครศรีอยุธยา,53.90677062192337,2024-01-12
