จังหวัด, PM2.5, วันที่
ตาก,28.838819652035454,2024-01-16
เลย,18.961395365787716,2024-01-16
ตรัง,24.288405008106796,2024-01-16
ตราด,32.86598654506815,2024-01-16
น่าน,22.622606436473216,2024-01-16
ยะลา,24.69188180622819,2024-01-16
สตูล,19.799113297354534,2024-01-16
แพร่,21.551382832223066,2024-01-16
ชุมพร,19.669923631293283,2024-01-16
พะเยา,21.256321723153548,2024-01-16
พังงา,24.29118824576011,2024-01-16
ยโสธร,12.674852169062106,2024-01-16
ระนอง,20.17554478557379,2024-01-16
ระยอง,49.73737254776146,2024-01-16
ลำปาง,23.067937805071974,2024-01-16
ลำพูน,22.513121970818865,2024-01-16
สงขลา,21.630666026026095,2024-01-16
กระบี่,22.701107928674254,2024-01-16
ชลบุรี,48.099205864362396,2024-01-16
ชัยนาท,30.681360181161356,2024-01-16
นครปฐม,51.07874848489086,2024-01-16
นครพนม,11.27969799691841,2024-01-16
บึงกาฬ,12.962864905413248,2024-01-16
พัทลุง,23.44483553995691,2024-01-16
พิจิตร,29.608243141087968,2024-01-16
ภูเก็ต,18.984503356381005,2024-01-16
ลพบุรี,36.637402094050174,2024-01-16
สกลนคร,12.357679125164934,2024-01-16
ขอนแก่น,16.997365391670492,2024-01-16
ชัยภูมิ,22.169799322268624,2024-01-16
นครนายก,32.69326495648326,2024-01-16
นนทบุรี,48.908755378443786,2024-01-16
ปัตตานี,22.15205001107713,2024-01-16
ราชบุรี,54.99730154800792,2024-01-16
สระบุรี,39.33805425937365,2024-01-16
สระแก้ว,47.741527040199266,2024-01-16
สุโขทัย,34.053244900338484,2024-01-16
หนองคาย,18.036738276958594,2024-01-16
อ่างทอง,44.3414858322405,2024-01-16
จันทบุรี,40.43159588923919,2024-01-16
นราธิวาส,19.017664636398802,2024-01-16
ปทุมธานี,46.78172894789773,2024-01-16
พิษณุโลก,27.926293781279867,2024-01-16
มุกดาหาร,13.644406233491921,2024-01-16
ร้อยเอ็ด,14.250544365150974,2024-01-16
ศรีสะเกษ,17.148581235862057,2024-01-16
สุรินทร์,22.154420243815455,2024-01-16
อุดรธานี,12.984219657427259,2024-01-16
เชียงราย,19.69689881847106,2024-01-16
เพชรบุรี,48.05352304749594,2024-01-16
กาญจนบุรี,41.492815640952884,2024-01-16
กาฬสินธุ์,15.52519523889375,2024-01-16
กำแพงเพชร,30.397530091332417,2024-01-16
นครสวรรค์,31.151606821335758,2024-01-16
บุรีรัมย์,25.303417155896923,2024-01-16
มหาสารคาม,17.038669057124043,2024-01-16
สมุทรสาคร,63.493394158783616,2024-01-16
สิงห์บุรี,32.38542957728026,2024-01-16
อุตรดิตถ์,25.323569845154534,2024-01-16
อุทัยธานี,34.451270878064825,2024-01-16
เชียงใหม่,17.65376138990265,2024-01-16
เพชรบูรณ์,25.638206413676773,2024-01-16
ฉะเชิงเทรา,45.818340832536215,2024-01-16
นครราชสีมา,31.594753758399154,2024-01-16
ปราจีนบุรี,40.51698279603055,2024-01-16
สุพรรณบุรี,40.20467646102679,2024-01-16
อำนาจเจริญ,11.676167747715313,2024-01-16
แม่ฮ่องสอน,18.763701232429327,2024-01-16
สมุทรปราการ,46.33728578923476,2024-01-16
สมุทรสงคราม,65.55781349688746,2024-01-16
หนองบัวลำภู,12.069995865712187,2024-01-16
อุบลราชธานี,17.1359710951311,2024-01-16
สุราษฎร์ธานี,24.818405584275194,2024-01-16
กรุงเทพมหานคร,44.648405204142215,2024-01-16
นครศรีธรรมราช,21.95834714438768,2024-01-16
ประจวบคีรีขันธ์,41.332173430106494,2024-01-16
พระนครศรีอยุธยา,42.014125996491536,2024-01-16
