จังหวัด, PM2.5, วันที่
ตาก,48.44762050810309,2024-02-11
เลย,39.12989842042026,2024-02-11
ตรัง,29.478605815860394,2024-02-11
ตราด,37.534444978650775,2024-02-11
น่าน,41.068293104189024,2024-02-11
ยะลา,20.231746509029975,2024-02-11
สตูล,20.73985922604247,2024-02-11
แพร่,42.665508990142946,2024-02-11
ชุมพร,22.251835882471035,2024-02-11
พะเยา,36.93113455847204,2024-02-11
พังงา,24.05101323199325,2024-02-11
ยโสธร,35.03648261805615,2024-02-11
ระนอง,21.254289986094594,2024-02-11
ระยอง,31.3205307843758,2024-02-11
ลำปาง,43.94579701834128,2024-02-11
ลำพูน,46.28471220868117,2024-02-11
สงขลา,20.848308499312918,2024-02-11
กระบี่,19.091911941555832,2024-02-11
ชลบุรี,33.6780337278723,2024-02-11
ชัยนาท,42.65155418868675,2024-02-11
นครปฐม,45.12489025377437,2024-02-11
นครพนม,36.43568170195769,2024-02-11
บึงกาฬ,30.302761102798133,2024-02-11
พัทลุง,26.69477347230233,2024-02-11
พิจิตร,47.79328806645369,2024-02-11
ภูเก็ต,25.249858600103693,2024-02-11
ลพบุรี,39.54654132971526,2024-02-11
สกลนคร,34.87096633350513,2024-02-11
ขอนแก่น,38.477025909034346,2024-02-11
ชัยภูมิ,38.484608662133446,2024-02-11
นครนายก,33.810736087785784,2024-02-11
นนทบุรี,45.10288251254957,2024-02-11
ปัตตานี,22.192458166314335,2024-02-11
ราชบุรี,45.253724642019066,2024-02-11
สระบุรี,36.79533232569343,2024-02-11
สระแก้ว,34.89552633603359,2024-02-11
สุโขทัย,51.508022037456406,2024-02-11
หนองคาย,44.56355856824523,2024-02-11
อ่างทอง,45.53953414657193,2024-02-11
จันทบุรี,31.09611533018232,2024-02-11
นราธิวาส,19.827457622880814,2024-02-11
ปทุมธานี,44.22710623710347,2024-02-11
พิษณุโลก,47.33559764047902,2024-02-11
มุกดาหาร,42.218486544897914,2024-02-11
ร้อยเอ็ด,37.46106176050633,2024-02-11
ศรีสะเกษ,28.909961329564542,2024-02-11
สุรินทร์,34.038508583808415,2024-02-11
อุดรธานี,38.18118167937814,2024-02-11
เชียงราย,31.82366207019104,2024-02-11
เพชรบุรี,38.34529035288388,2024-02-11
กาญจนบุรี,43.61679873028042,2024-02-11
กาฬสินธุ์,41.49581391614471,2024-02-11
กำแพงเพชร,50.335219106103374,2024-02-11
นครสวรรค์,46.52828103475507,2024-02-11
บุรีรัมย์,35.00461904535162,2024-02-11
มหาสารคาม,39.01104201006514,2024-02-11
สมุทรสาคร,46.958071180515496,2024-02-11
สิงห์บุรี,41.573530678930084,2024-02-11
อุตรดิตถ์,43.23196949672246,2024-02-11
อุทัยธานี,45.22867164341706,2024-02-11
เชียงใหม่,37.91733729971981,2024-02-11
เพชรบูรณ์,44.71186063152206,2024-02-11
ฉะเชิงเทรา,38.18540923594592,2024-02-11
นครราชสีมา,38.52526692250377,2024-02-11
ปราจีนบุรี,40.834790894037475,2024-02-11
สุพรรณบุรี,41.914904612614954,2024-02-11
อำนาจเจริญ,33.82855207781684,2024-02-11
แม่ฮ่องสอน,36.57907250280953,2024-02-11
สมุทรปราการ,43.355887842330056,2024-02-11
สมุทรสงคราม,49.600137776437755,2024-02-11
หนองบัวลำภู,37.56912823475416,2024-02-11
อุบลราชธานี,33.377033304574574,2024-02-11
สุราษฎร์ธานี,20.677032463100392,2024-02-11
กรุงเทพมหานคร,43.013475236810955,2024-02-11
นครศรีธรรมราช,22.91379848545578,2024-02-11
ประจวบคีรีขันธ์,33.57339822553599,2024-02-11
พระนครศรีอยุธยา,42.07730399804047,2024-02-11
