จังหวัด, PM2.5, วันที่
ตาก,45.333147477746685,2024-02-23
เลย,42.5127367042397,2024-02-23
ตรัง,17.437135168723987,2024-02-23
ตราด,15.660856219238662,2024-02-23
น่าน,47.91227293507504,2024-02-23
ยะลา,14.672862472169573,2024-02-23
สตูล,13.139673129059291,2024-02-23
แพร่,46.655954141068264,2024-02-23
ชุมพร,16.183715992951793,2024-02-23
พะเยา,52.5071618961199,2024-02-23
พังงา,15.08302216256434,2024-02-23
ยโสธร,59.29672903624527,2024-02-23
ระนอง,15.955749434581586,2024-02-23
ระยอง,12.444682098635093,2024-02-23
ลำปาง,54.97970646102494,2024-02-23
ลำพูน,56.55812004921824,2024-02-23
สงขลา,13.8599027969355,2024-02-23
กระบี่,13.975201521539306,2024-02-23
ชลบุรี,13.714125349336303,2024-02-23
ชัยนาท,30.305729421300626,2024-02-23
นครปฐม,15.449734711683016,2024-02-23
นครพนม,59.33987945428417,2024-02-23
บึงกาฬ,42.388818969869725,2024-02-23
พัทลุง,15.116333577895695,2024-02-23
พิจิตร,32.68592873665634,2024-02-23
ภูเก็ต,15.905669107703085,2024-02-23
ลพบุรี,28.49465974667844,2024-02-23
สกลนคร,52.859301344192055,2024-02-23
ขอนแก่น,44.23635730071891,2024-02-23
ชัยภูมิ,38.49296153422123,2024-02-23
นครนายก,21.256850595013486,2024-02-23
นนทบุรี,12.398477490785329,2024-02-23
ปัตตานี,15.895827279591254,2024-02-23
ราชบุรี,17.991129041176865,2024-02-23
สระบุรี,24.017383214618576,2024-02-23
สระแก้ว,26.30748750606074,2024-02-23
สุโขทัย,49.97637203345246,2024-02-23
หนองคาย,48.239142921640244,2024-02-23
อ่างทอง,22.97650509151958,2024-02-23
จันทบุรี,15.473624103943388,2024-02-23
นราธิวาส,16.196839566766954,2024-02-23
ปทุมธานี,14.235865449578379,2024-02-23
พิษณุโลก,39.193115380742356,2024-02-23
มุกดาหาร,59.93302429187406,2024-02-23
ร้อยเอ็ด,53.49378597651753,2024-02-23
ศรีสะเกษ,49.24319753918107,2024-02-23
สุรินทร์,44.00575409372965,2024-02-23
อุดรธานี,46.928651616827665,2024-02-23
เชียงราย,46.81968288594164,2024-02-23
เพชรบุรี,16.047241186585882,2024-02-23
กาญจนบุรี,28.055611113184703,2024-02-23
กาฬสินธุ์,52.65843034829964,2024-02-23
กำแพงเพชร,42.76931623352663,2024-02-23
นครสวรรค์,30.403135142869107,2024-02-23
บุรีรัมย์,36.74526215506613,2024-02-23
มหาสารคาม,46.68382147395854,2024-02-23
สมุทรสาคร,11.123316985646566,2024-02-23
สิงห์บุรี,27.343888577094187,2024-02-23
อุตรดิตถ์,44.32734429283936,2024-02-23
อุทัยธานี,30.004312499953578,2024-02-23
เชียงใหม่,47.35527389687982,2024-02-23
เพชรบูรณ์,37.818828941902694,2024-02-23
ฉะเชิงเทรา,19.415021419592566,2024-02-23
นครราชสีมา,33.22850937429684,2024-02-23
ปราจีนบุรี,26.461950278361865,2024-02-23
สุพรรณบุรี,22.907675641014713,2024-02-23
อำนาจเจริญ,57.413310860229075,2024-02-23
แม่ฮ่องสอน,40.194496646638854,2024-02-23
สมุทรปราการ,12.011638044738431,2024-02-23
สมุทรสงคราม,10.32562480619037,2024-02-23
หนองบัวลำภู,46.1094475941252,2024-02-23
อุบลราชธานี,51.035779949550935,2024-02-23
สุราษฎร์ธานี,13.9761046462454,2024-02-23
กรุงเทพมหานคร,11.822735896712434,2024-02-23
นครศรีธรรมราช,15.241859522083615,2024-02-23
ประจวบคีรีขันธ์,17.867461538219665,2024-02-23
พระนครศรีอยุธยา,19.086404645191664,2024-02-23
