จังหวัด, PM2.5, วันที่
ตาก,44.851696350546646,2024-02-22
เลย,37.90442438246807,2024-02-22
ตรัง,23.78283670359785,2024-02-22
ตราด,16.03744513967975,2024-02-22
น่าน,49.42683398665689,2024-02-22
ยะลา,14.909333931202795,2024-02-22
สตูล,14.719143925551917,2024-02-22
แพร่,51.534783917047065,2024-02-22
ชุมพร,16.428179762296214,2024-02-22
พะเยา,50.54633515834903,2024-02-22
พังงา,15.333743341537998,2024-02-22
ยโสธร,54.08656118894907,2024-02-22
ระนอง,18.571879042242898,2024-02-22
ระยอง,11.90775967597807,2024-02-22
ลำปาง,60.917915054080666,2024-02-22
ลำพูน,60.55351542973232,2024-02-22
สงขลา,15.351142337227394,2024-02-22
กระบี่,12.986378926063862,2024-02-22
ชลบุรี,12.514122742811798,2024-02-22
ชัยนาท,25.939549796289253,2024-02-22
นครปฐม,13.294653118715239,2024-02-22
นครพนม,59.211317664092924,2024-02-22
บึงกาฬ,42.01184481855641,2024-02-22
พัทลุง,17.415262399417013,2024-02-22
พิจิตร,30.205501589744415,2024-02-22
ภูเก็ต,15.805250158274152,2024-02-22
ลพบุรี,26.21299803365645,2024-02-22
สกลนคร,50.30215590650138,2024-02-22
ขอนแก่น,38.53621502682641,2024-02-22
ชัยภูมิ,34.70810672491648,2024-02-22
นครนายก,19.695743333634766,2024-02-22
นนทบุรี,11.306059908334015,2024-02-22
ปัตตานี,16.75053337124577,2024-02-22
ราชบุรี,15.676957552345877,2024-02-22
สระบุรี,22.77555329585728,2024-02-22
สระแก้ว,21.57378032862867,2024-02-22
สุโขทัย,50.770670787970374,2024-02-22
หนองคาย,50.15929160546109,2024-02-22
อ่างทอง,25.768727040538177,2024-02-22
จันทบุรี,15.127544730650051,2024-02-22
นราธิวาส,15.178448460675813,2024-02-22
ปทุมธานี,13.20491414656418,2024-02-22
พิษณุโลก,39.92216052783341,2024-02-22
มุกดาหาร,58.08012292252516,2024-02-22
ร้อยเอ็ด,46.83927960019904,2024-02-22
ศรีสะเกษ,45.28733181451439,2024-02-22
สุรินทร์,36.41600420211955,2024-02-22
อุดรธานี,44.759122406290174,2024-02-22
เชียงราย,43.4644393124498,2024-02-22
เพชรบุรี,13.784634550192333,2024-02-22
กาญจนบุรี,23.061129013149657,2024-02-22
กาฬสินธุ์,48.56822077030973,2024-02-22
กำแพงเพชร,41.04195190400735,2024-02-22
นครสวรรค์,26.722396857787984,2024-02-22
บุรีรัมย์,29.321290320596813,2024-02-22
มหาสารคาม,40.83929195016315,2024-02-22
สมุทรสาคร,10.262766505723562,2024-02-22
สิงห์บุรี,24.719080141000784,2024-02-22
อุตรดิตถ์,44.62629157991954,2024-02-22
อุทัยธานี,26.882463946551756,2024-02-22
เชียงใหม่,44.88451253875897,2024-02-22
เพชรบูรณ์,34.10647785210791,2024-02-22
ฉะเชิงเทรา,16.500232915014614,2024-02-22
นครราชสีมา,28.73860799687608,2024-02-22
ปราจีนบุรี,23.019020879482618,2024-02-22
สุพรรณบุรี,19.79417948224541,2024-02-22
อำนาจเจริญ,55.90133024766166,2024-02-22
แม่ฮ่องสอน,41.48105454605427,2024-02-22
สมุทรปราการ,10.903185289560707,2024-02-22
สมุทรสงคราม,10.307679678453363,2024-02-22
หนองบัวลำภู,39.14510943101275,2024-02-22
อุบลราชธานี,52.270942546798224,2024-02-22
สุราษฎร์ธานี,15.088518902182164,2024-02-22
กรุงเทพมหานคร,10.873054037837681,2024-02-22
นครศรีธรรมราช,18.13973990062688,2024-02-22
ประจวบคีรีขันธ์,15.718571454620289,2024-02-22
พระนครศรีอยุธยา,18.623829053235927,2024-02-22
