จังหวัด, PM2.5, วันที่
ตาก,60.19936226965957,2024-02-28
เลย,58.869251617556465,2024-02-28
ตรัง,24.322104786303868,2024-02-28
ตราด,39.07136625436801,2024-02-28
น่าน,63.96880298348461,2024-02-28
ยะลา,18.126146437004344,2024-02-28
สตูล,18.711472857259793,2024-02-28
แพร่,65.67689827035366,2024-02-28
ชุมพร,22.087369031729565,2024-02-28
พะเยา,65.58148637112089,2024-02-28
พังงา,20.535812594347096,2024-02-28
ยโสธร,25.53395026549711,2024-02-28
ระนอง,20.887956845486027,2024-02-28
ระยอง,24.713697905357975,2024-02-28
ลำปาง,66.97566844878301,2024-02-28
ลำพูน,68.37360230010752,2024-02-28
สงขลา,19.920404974313964,2024-02-28
กระบี่,18.4131952679527,2024-02-28
ชลบุรี,24.937711812290477,2024-02-28
ชัยนาท,57.401704996323566,2024-02-28
นครปฐม,27.172041957784547,2024-02-28
นครพนม,28.359690231949333,2024-02-28
บึงกาฬ,33.4625453589299,2024-02-28
พัทลุง,24.650402021578838,2024-02-28
พิจิตร,58.87307798968265,2024-02-28
ภูเก็ต,21.475422349588595,2024-02-28
ลพบุรี,48.43769260585264,2024-02-28
สกลนคร,30.167101770572106,2024-02-28
ขอนแก่น,42.130927532575114,2024-02-28
ชัยภูมิ,46.91017348815808,2024-02-28
นครนายก,36.46018965995476,2024-02-28
นนทบุรี,24.204662194683902,2024-02-28
ปัตตานี,21.389384108229976,2024-02-28
ราชบุรี,32.97203832119075,2024-02-28
สระบุรี,47.10938545552356,2024-02-28
สระแก้ว,36.946346388996304,2024-02-28
สุโขทัย,80.45232148806346,2024-02-28
หนองคาย,38.59682068477619,2024-02-28
อ่างทอง,44.50330876657089,2024-02-28
จันทบุรี,30.85925135694562,2024-02-28
นราธิวาส,18.634707879033915,2024-02-28
ปทุมธานี,28.090170298562683,2024-02-28
พิษณุโลก,63.6701850514857,2024-02-28
มุกดาหาร,31.817544215131196,2024-02-28
ร้อยเอ็ด,27.834692809833367,2024-02-28
ศรีสะเกษ,26.257165333326636,2024-02-28
สุรินทร์,33.45835047693707,2024-02-28
อุดรธานี,39.15504822881275,2024-02-28
เชียงราย,60.6230690683481,2024-02-28
เพชรบุรี,29.253386396838216,2024-02-28
กาญจนบุรี,37.95374644852989,2024-02-28
กาฬสินธุ์,36.598857334112445,2024-02-28
กำแพงเพชร,60.88696020028678,2024-02-28
นครสวรรค์,53.8209361989922,2024-02-28
บุรีรัมย์,36.12193392457696,2024-02-28
มหาสารคาม,36.06009800873815,2024-02-28
สมุทรสาคร,21.754349571225678,2024-02-28
สิงห์บุรี,52.75609183083543,2024-02-28
อุตรดิตถ์,64.8098508281827,2024-02-28
อุทัยธานี,50.86761589254371,2024-02-28
เชียงใหม่,63.038748036222515,2024-02-28
เพชรบูรณ์,54.64495280385853,2024-02-28
ฉะเชิงเทรา,31.27056342999403,2024-02-28
นครราชสีมา,41.94612019450593,2024-02-28
ปราจีนบุรี,40.38369532072353,2024-02-28
สุพรรณบุรี,39.93097934555869,2024-02-28
อำนาจเจริญ,23.96544313625622,2024-02-28
แม่ฮ่องสอน,70.55475462511656,2024-02-28
สมุทรปราการ,22.383917745243462,2024-02-28
สมุทรสงคราม,26.065269973384808,2024-02-28
หนองบัวลำภู,49.21472433253709,2024-02-28
อุบลราชธานี,26.88604355038987,2024-02-28
สุราษฎร์ธานี,19.808681377405673,2024-02-28
กรุงเทพมหานคร,23.92921644274273,2024-02-28
นครศรีธรรมราช,20.958397820248795,2024-02-28
ประจวบคีรีขันธ์,28.409117777738633,2024-02-28
พระนครศรีอยุธยา,37.1723617158075,2024-02-28
