จังหวัด, PM2.5, วันที่
ตาก,45.36405489530598,2024-01-26
เลย,26.01078806928873,2024-01-26
ตรัง,21.754444930874897,2024-01-26
ตราด,37.43157644392223,2024-01-26
น่าน,31.217841806294427,2024-01-26
ยะลา,20.112198580270434,2024-01-26
สตูล,17.82177480588878,2024-01-26
แพร่,39.69330903193284,2024-01-26
ชุมพร,16.148846302660377,2024-01-26
พะเยา,36.21261693707402,2024-01-26
พังงา,19.431951843536044,2024-01-26
ยโสธร,11.06912081816321,2024-01-26
ระนอง,18.285322029912596,2024-01-26
ระยอง,37.24483140819183,2024-01-26
ลำปาง,39.92623647382405,2024-01-26
ลำพูน,41.618188733845905,2024-01-26
สงขลา,19.946854062066894,2024-01-26
กระบี่,17.96494451304767,2024-01-26
ชลบุรี,36.20113769035016,2024-01-26
ชัยนาท,40.46748098611706,2024-01-26
นครปฐม,43.02934014802665,2024-01-26
นครพนม,12.034697710989644,2024-01-26
บึงกาฬ,14.43196462914323,2024-01-26
พัทลุง,19.960154228492964,2024-01-26
พิจิตร,33.30372923817557,2024-01-26
ภูเก็ต,19.46095925987741,2024-01-26
ลพบุรี,36.942353921350715,2024-01-26
สกลนคร,13.752285993987195,2024-01-26
ขอนแก่น,20.532278677965454,2024-01-26
ชัยภูมิ,26.514304326350032,2024-01-26
นครนายก,32.25624313879684,2024-01-26
นนทบุรี,41.94264530532565,2024-01-26
ปัตตานี,18.377163079995302,2024-01-26
ราชบุรี,45.87066417036074,2024-01-26
สระบุรี,37.56814938354987,2024-01-26
สระแก้ว,35.076152979248405,2024-01-26
สุโขทัย,52.90274607002439,2024-01-26
หนองคาย,24.57907540999762,2024-01-26
อ่างทอง,38.957727030439656,2024-01-26
จันทบุรี,34.430492557398786,2024-01-26
นราธิวาส,17.861467163530662,2024-01-26
ปทุมธานี,39.9777611709665,2024-01-26
พิษณุโลก,36.44054032458185,2024-01-26
มุกดาหาร,14.730429937425468,2024-01-26
ร้อยเอ็ด,13.018393342972601,2024-01-26
ศรีสะเกษ,14.214684574576163,2024-01-26
สุรินทร์,17.322460049003578,2024-01-26
อุดรธานี,18.362624051984685,2024-01-26
เชียงราย,37.835148157309405,2024-01-26
เพชรบุรี,44.34680637262381,2024-01-26
กาญจนบุรี,40.470740644488714,2024-01-26
กาฬสินธุ์,16.537848464900065,2024-01-26
กำแพงเพชร,43.23567078920821,2024-01-26
นครสวรรค์,38.167375780291245,2024-01-26
บุรีรัมย์,22.85232499456995,2024-01-26
มหาสารคาม,17.66050779806726,2024-01-26
สมุทรสาคร,53.507263674618045,2024-01-26
สิงห์บุรี,34.13663866192443,2024-01-26
อุตรดิตถ์,38.10306356968912,2024-01-26
อุทัยธานี,40.99548520246524,2024-01-26
เชียงใหม่,33.18637815651643,2024-01-26
เพชรบูรณ์,30.62908522655496,2024-01-26
ฉะเชิงเทรา,36.82175695838479,2024-01-26
นครราชสีมา,31.22087088105025,2024-01-26
ปราจีนบุรี,36.38045622391436,2024-01-26
สุพรรณบุรี,38.300870022055996,2024-01-26
อำนาจเจริญ,10.274283933048096,2024-01-26
แม่ฮ่องสอน,30.279266649517677,2024-01-26
สมุทรปราการ,45.567555520402344,2024-01-26
สมุทรสงคราม,50.10418985637626,2024-01-26
หนองบัวลำภู,18.13853059124964,2024-01-26
อุบลราชธานี,13.671706081125219,2024-01-26
สุราษฎร์ธานี,16.690371280854414,2024-01-26
กรุงเทพมหานคร,42.06615014249265,2024-01-26
นครศรีธรรมราช,16.35192695944588,2024-01-26
ประจวบคีรีขันธ์,39.443670581347945,2024-01-26
พระนครศรีอยุธยา,38.61526227481721,2024-01-26
