จังหวัด, PM2.5, วันที่
ตาก,52.364369351295394,2024-01-11
เลย,40.72180744127695,2024-01-11
ตรัง,25.136175365055166,2024-01-11
ตราด,32.42574742697465,2024-01-11
น่าน,50.26610576982655,2024-01-11
ยะลา,24.65065419789928,2024-01-11
สตูล,24.264119278367225,2024-01-11
แพร่,57.43147852168773,2024-01-11
ชุมพร,19.20987236023958,2024-01-11
พะเยา,38.30028829528453,2024-01-11
พังงา,22.76780013882346,2024-01-11
ยโสธร,21.31043489142329,2024-01-11
ระนอง,20.68438646180856,2024-01-11
ระยอง,37.031281266166665,2024-01-11
ลำปาง,44.78829279170806,2024-01-11
ลำพูน,30.95872962052974,2024-01-11
สงขลา,29.271864503768047,2024-01-11
กระบี่,18.97343331902366,2024-01-11
ชลบุรี,40.14448946388277,2024-01-11
ชัยนาท,79.92565623049089,2024-01-11
นครปฐม,43.402169557821644,2024-01-11
นครพนม,18.726445522919022,2024-01-11
บึงกาฬ,18.591630848940685,2024-01-11
พัทลุง,31.24460512686711,2024-01-11
พิจิตร,65.37430397740702,2024-01-11
ภูเก็ต,22.512310477903565,2024-01-11
ลพบุรี,64.6271158986851,2024-01-11
สกลนคร,20.726140502089457,2024-01-11
ขอนแก่น,31.65369354241831,2024-01-11
ชัยภูมิ,40.48475149663917,2024-01-11
นครนายก,47.34497267286271,2024-01-11
นนทบุรี,46.21540099512983,2024-01-11
ปัตตานี,22.657382441859596,2024-01-11
ราชบุรี,51.965522655418496,2024-01-11
สระบุรี,61.42151574267897,2024-01-11
สระแก้ว,48.83283009928992,2024-01-11
สุโขทัย,74.57062048938184,2024-01-11
หนองคาย,29.453100100687557,2024-01-11
อ่างทอง,77.40743660035332,2024-01-11
จันทบุรี,38.80181841803261,2024-01-11
นราธิวาส,23.07158060912924,2024-01-11
ปทุมธานี,50.677980131663624,2024-01-11
พิษณุโลก,62.78386177562813,2024-01-11
มุกดาหาร,21.13632521015542,2024-01-11
ร้อยเอ็ด,23.83720009244183,2024-01-11
ศรีสะเกษ,25.73895229193692,2024-01-11
สุรินทร์,31.844518931969606,2024-01-11
อุดรธานี,24.94924122224206,2024-01-11
เชียงราย,31.29816921801761,2024-01-11
เพชรบุรี,43.25422781666663,2024-01-11
กาญจนบุรี,53.59637736046197,2024-01-11
กาฬสินธุ์,25.291321208647705,2024-01-11
กำแพงเพชร,65.04079465944073,2024-01-11
นครสวรรค์,69.49699395024393,2024-01-11
บุรีรัมย์,35.21158989504765,2024-01-11
มหาสารคาม,28.634611866954387,2024-01-11
สมุทรสาคร,40.0623280735297,2024-01-11
สิงห์บุรี,77.98987210249255,2024-01-11
อุตรดิตถ์,61.281174934123065,2024-01-11
อุทัยธานี,65.04750335634532,2024-01-11
เชียงใหม่,20.36945720113183,2024-01-11
เพชรบูรณ์,51.47939589178602,2024-01-11
ฉะเชิงเทรา,47.497771764790116,2024-01-11
นครราชสีมา,44.912461498404326,2024-01-11
ปราจีนบุรี,50.77772005336264,2024-01-11
สุพรรณบุรี,58.08590938957507,2024-01-11
อำนาจเจริญ,18.568631275532155,2024-01-11
แม่ฮ่องสอน,19.129631082663234,2024-01-11
สมุทรปราการ,36.4200593919975,2024-01-11
สมุทรสงคราม,50.815752282711756,2024-01-11
หนองบัวลำภู,29.70471621949269,2024-01-11
อุบลราชธานี,29.007458532050055,2024-01-11
สุราษฎร์ธานี,21.71684516338617,2024-01-11
กรุงเทพมหานคร,40.099652183238916,2024-01-11
นครศรีธรรมราช,19.28450912816059,2024-01-11
ประจวบคีรีขันธ์,38.34138839637283,2024-01-11
พระนครศรีอยุธยา,58.3459151533443,2024-01-11
