จังหวัด, PM2.5, วันที่
ตาก,43.46472573157571,2024-02-19
เลย,46.19572835912556,2024-02-19
ตรัง,23.82036722194759,2024-02-19
ตราด,20.96304122370165,2024-02-19
น่าน,47.730556746235834,2024-02-19
ยะลา,22.15210938038162,2024-02-19
สตูล,18.65412178395449,2024-02-19
แพร่,45.18389492741086,2024-02-19
ชุมพร,17.336197705664635,2024-02-19
พะเยา,45.02984410517372,2024-02-19
พังงา,17.564956196070032,2024-02-19
ยโสธร,61.88065642438484,2024-02-19
ระนอง,17.942451836794177,2024-02-19
ระยอง,14.389185623032608,2024-02-19
ลำปาง,46.40754561804323,2024-02-19
ลำพูน,41.38484186362612,2024-02-19
สงขลา,22.535274470642523,2024-02-19
กระบี่,15.359862226630764,2024-02-19
ชลบุรี,15.21612321712243,2024-02-19
ชัยนาท,28.342811036233357,2024-02-19
นครปฐม,17.42157549267983,2024-02-19
นครพนม,60.858264146784556,2024-02-19
บึงกาฬ,50.496434518524204,2024-02-19
พัทลุง,22.922028438379566,2024-02-19
พิจิตร,34.91911872121645,2024-02-19
ภูเก็ต,20.40559803711354,2024-02-19
ลพบุรี,28.995502825791508,2024-02-19
สกลนคร,46.88205587831302,2024-02-19
ขอนแก่น,43.22029972764093,2024-02-19
ชัยภูมิ,36.78502083445863,2024-02-19
นครนายก,20.324098211087943,2024-02-19
นนทบุรี,12.218997726428483,2024-02-19
ปัตตานี,21.337655684034143,2024-02-19
ราชบุรี,19.160103132944382,2024-02-19
สระบุรี,23.454842601774246,2024-02-19
สระแก้ว,26.47124138384669,2024-02-19
สุโขทัย,54.37047578237266,2024-02-19
หนองคาย,57.114512737290895,2024-02-19
อ่างทอง,23.373503198233085,2024-02-19
จันทบุรี,18.761970806197503,2024-02-19
นราธิวาส,21.537745842985505,2024-02-19
ปทุมธานี,13.77238139158283,2024-02-19
พิษณุโลก,41.10779562904888,2024-02-19
มุกดาหาร,60.54314127765768,2024-02-19
ร้อยเอ็ด,53.27106876707589,2024-02-19
ศรีสะเกษ,49.60256064475147,2024-02-19
สุรินทร์,42.847642716793416,2024-02-19
อุดรธานี,50.95393711531052,2024-02-19
เชียงราย,35.330689301575305,2024-02-19
เพชรบุรี,16.47717480729045,2024-02-19
กาญจนบุรี,26.881471271566102,2024-02-19
กาฬสินธุ์,50.858284861708945,2024-02-19
กำแพงเพชร,43.1349330510582,2024-02-19
นครสวรรค์,30.425620968823573,2024-02-19
บุรีรัมย์,37.040792909909094,2024-02-19
มหาสารคาม,45.69775136436408,2024-02-19
สมุทรสาคร,12.035984865736776,2024-02-19
สิงห์บุรี,27.36585071694289,2024-02-19
อุตรดิตถ์,44.52960200401796,2024-02-19
อุทัยธานี,29.988206086722844,2024-02-19
เชียงใหม่,33.25551625500649,2024-02-19
เพชรบูรณ์,35.56143620852613,2024-02-19
ฉะเชิงเทรา,20.261602917948387,2024-02-19
นครราชสีมา,32.35102966321954,2024-02-19
ปราจีนบุรี,26.88807932465464,2024-02-19
สุพรรณบุรี,23.464305209756763,2024-02-19
อำนาจเจริญ,61.7479773957158,2024-02-19
แม่ฮ่องสอน,36.675335597871246,2024-02-19
สมุทรปราการ,12.109838983590729,2024-02-19
สมุทรสงคราม,12.78016719253399,2024-02-19
หนองบัวลำภู,44.228808681916085,2024-02-19
อุบลราชธานี,57.78636185514323,2024-02-19
สุราษฎร์ธานี,18.73890356439994,2024-02-19
กรุงเทพมหานคร,11.492234149683236,2024-02-19
นครศรีธรรมราช,18.450604963627274,2024-02-19
ประจวบคีรีขันธ์,16.17509889678059,2024-02-19
พระนครศรีอยุธยา,18.86912486136038,2024-02-19
