จังหวัด, PM2.5, วันที่
ตาก,61.21746602437565,2024-02-26
เลย,50.59332452341966,2024-02-26
ตรัง,28.422577390064603,2024-02-26
ตราด,31.842670043529942,2024-02-26
น่าน,59.55543313448303,2024-02-26
ยะลา,22.155289075273227,2024-02-26
สตูล,21.805945723300045,2024-02-26
แพร่,62.702517094939715,2024-02-26
ชุมพร,22.381762936620778,2024-02-26
พะเยา,59.63040866177231,2024-02-26
พังงา,22.12201550848664,2024-02-26
ยโสธร,32.61215852631453,2024-02-26
ระนอง,22.16466194646547,2024-02-26
ระยอง,23.036795115930076,2024-02-26
ลำปาง,68.02116681262264,2024-02-26
ลำพูน,73.65993536358715,2024-02-26
สงขลา,24.210053076198534,2024-02-26
กระบี่,20.728391094678557,2024-02-26
ชลบุรี,24.24577639544764,2024-02-26
ชัยนาท,45.67593966395062,2024-02-26
นครปฐม,28.01169027098375,2024-02-26
นครพนม,27.280112940194737,2024-02-26
บึงกาฬ,32.48279028516713,2024-02-26
พัทลุง,26.650759463186862,2024-02-26
พิจิตร,46.508524593531796,2024-02-26
ภูเก็ต,21.720993703645615,2024-02-26
ลพบุรี,42.7124894787416,2024-02-26
สกลนคร,31.204888568167235,2024-02-26
ขอนแก่น,40.56900208938557,2024-02-26
ชัยภูมิ,44.367694082060495,2024-02-26
นครนายก,33.444326630615464,2024-02-26
นนทบุรี,28.523366784377874,2024-02-26
ปัตตานี,23.666799202050047,2024-02-26
ราชบุรี,34.34862601271634,2024-02-26
สระบุรี,38.935918788829184,2024-02-26
สระแก้ว,37.1112245196025,2024-02-26
สุโขทัย,64.84422914826902,2024-02-26
หนองคาย,40.636227682813654,2024-02-26
อ่างทอง,39.70152307969656,2024-02-26
จันทบุรี,29.383745237738886,2024-02-26
นราธิวาส,21.214092680063857,2024-02-26
ปทุมธานี,29.14959439411695,2024-02-26
พิษณุโลก,51.52485937842706,2024-02-26
มุกดาหาร,32.8941045199658,2024-02-26
ร้อยเอ็ด,33.89217610238199,2024-02-26
ศรีสะเกษ,37.74028599169881,2024-02-26
สุรินทร์,40.22151883892931,2024-02-26
อุดรธานี,37.70788914262284,2024-02-26
เชียงราย,53.3978393627999,2024-02-26
เพชรบุรี,29.173030254075968,2024-02-26
กาญจนบุรี,46.47537992039977,2024-02-26
กาฬสินธุ์,37.53357098791839,2024-02-26
กำแพงเพชร,53.42557595496474,2024-02-26
นครสวรรค์,45.2518298540187,2024-02-26
บุรีรัมย์,40.656184841708125,2024-02-26
มหาสารคาม,37.41258214491707,2024-02-26
สมุทรสาคร,25.174171330841865,2024-02-26
สิงห์บุรี,43.96023769950705,2024-02-26
อุตรดิตถ์,56.30630704155971,2024-02-26
อุทัยธานี,45.67732028073004,2024-02-26
เชียงใหม่,60.25390099347566,2024-02-26
เพชรบูรณ์,47.791699687523916,2024-02-26
ฉะเชิงเทรา,31.250202030977658,2024-02-26
นครราชสีมา,42.19707346027259,2024-02-26
ปราจีนบุรี,38.670649782596996,2024-02-26
สุพรรณบุรี,37.83809913501989,2024-02-26
อำนาจเจริญ,29.84440854913207,2024-02-26
แม่ฮ่องสอน,55.5364543237133,2024-02-26
สมุทรปราการ,26.644534193145653,2024-02-26
สมุทรสงคราม,22.107341466007295,2024-02-26
หนองบัวลำภู,42.60981340606273,2024-02-26
อุบลราชธานี,35.75057272820598,2024-02-26
สุราษฎร์ธานี,22.90424241804764,2024-02-26
กรุงเทพมหานคร,29.159058482140736,2024-02-26
นครศรีธรรมราช,23.924299500778602,2024-02-26
ประจวบคีรีขันธ์,27.90646206022342,2024-02-26
พระนครศรีอยุธยา,32.91548563556556,2024-02-26
