จังหวัด, PM2.5, วันที่
ตาก,46.124512638776096,2024-01-13
เลย,35.365049147861896,2024-01-13
ตรัง,21.908550226178555,2024-01-13
ตราด,26.098401731815567,2024-01-13
น่าน,49.84842326888399,2024-01-13
ยะลา,26.575183580289522,2024-01-13
สตูล,19.455477759568375,2024-01-13
แพร่,55.798442953309504,2024-01-13
ชุมพร,22.464026458381,2024-01-13
พะเยา,45.51188109209741,2024-01-13
พังงา,25.383938418733727,2024-01-13
ยโสธร,18.551626914146098,2024-01-13
ระนอง,21.443980613838267,2024-01-13
ระยอง,26.37871843601017,2024-01-13
ลำปาง,46.22174122529095,2024-01-13
ลำพูน,29.8950366786138,2024-01-13
สงขลา,19.86028735949822,2024-01-13
กระบี่,22.813986373153565,2024-01-13
ชลบุรี,31.792727877550124,2024-01-13
ชัยนาท,63.72178149031434,2024-01-13
นครปฐม,33.729310743348435,2024-01-13
นครพนม,14.888826612010899,2024-01-13
บึงกาฬ,15.739150819602921,2024-01-13
พัทลุง,18.73662604255085,2024-01-13
พิจิตร,49.9851854075914,2024-01-13
ภูเก็ต,23.119935369197954,2024-01-13
ลพบุรี,49.90269690525052,2024-01-13
สกลนคร,17.632519739423543,2024-01-13
ขอนแก่น,29.42492071260794,2024-01-13
ชัยภูมิ,35.963866069501876,2024-01-13
นครนายก,37.37779450761307,2024-01-13
นนทบุรี,36.6581944831879,2024-01-13
ปัตตานี,21.52881493834135,2024-01-13
ราชบุรี,37.65498145151666,2024-01-13
สระบุรี,45.7630658115143,2024-01-13
สระแก้ว,48.638914967465986,2024-01-13
สุโขทัย,64.52155421504024,2024-01-13
หนองคาย,25.326385891813477,2024-01-13
อ่างทอง,57.26260243439594,2024-01-13
จันทบุรี,32.68519403785534,2024-01-13
นราธิวาส,20.98504729500622,2024-01-13
ปทุมธานี,40.34568388538009,2024-01-13
พิษณุโลก,52.81151855613203,2024-01-13
มุกดาหาร,17.431091225119808,2024-01-13
ร้อยเอ็ด,20.99455453863591,2024-01-13
ศรีสะเกษ,22.942135988178205,2024-01-13
สุรินทร์,29.656909833562217,2024-01-13
อุดรธานี,20.834670608259852,2024-01-13
เชียงราย,36.742514197346594,2024-01-13
เพชรบุรี,32.59714866143372,2024-01-13
กาญจนบุรี,43.18094395415629,2024-01-13
กาฬสินธุ์,23.832056671306976,2024-01-13
กำแพงเพชร,51.034640391796884,2024-01-13
นครสวรรค์,54.480871474571636,2024-01-13
บุรีรัมย์,34.30728752263546,2024-01-13
มหาสารคาม,26.853733976485202,2024-01-13
สมุทรสาคร,28.747617608506655,2024-01-13
สิงห์บุรี,59.31105917614219,2024-01-13
อุตรดิตถ์,57.451776531594675,2024-01-13
อุทัยธานี,52.36129146952695,2024-01-13
เชียงใหม่,18.590154110146482,2024-01-13
เพชรบูรณ์,43.72825882267029,2024-01-13
ฉะเชิงเทรา,41.18498213996349,2024-01-13
นครราชสีมา,40.88362697625055,2024-01-13
ปราจีนบุรี,51.00540727072509,2024-01-13
สุพรรณบุรี,45.94573342504412,2024-01-13
อำนาจเจริญ,14.697409674065518,2024-01-13
แม่ฮ่องสอน,16.24643267531812,2024-01-13
สมุทรปราการ,32.0819780703404,2024-01-13
สมุทรสงคราม,35.281702848552605,2024-01-13
หนองบัวลำภู,23.60913042185062,2024-01-13
อุบลราชธานี,24.784976817065367,2024-01-13
สุราษฎร์ธานี,22.838191522508207,2024-01-13
กรุงเทพมหานคร,33.06181350198232,2024-01-13
นครศรีธรรมราช,19.934616288994704,2024-01-13
ประจวบคีรีขันธ์,29.40436218290853,2024-01-13
พระนครศรีอยุธยา,45.52211565721849,2024-01-13
