จังหวัด, PM2.5, วันที่
ตาก,44.19281980990295,2024-01-22
เลย,45.827570642565576,2024-01-22
ตรัง,22.216297862416763,2024-01-22
ตราด,45.85034882570849,2024-01-22
น่าน,39.67580171681235,2024-01-22
ยะลา,27.113468258945346,2024-01-22
สตูล,22.02518229771318,2024-01-22
แพร่,43.492586133673946,2024-01-22
ชุมพร,17.572843857405616,2024-01-22
พะเยา,35.25496511866579,2024-01-22
พังงา,22.284532830521634,2024-01-22
ยโสธร,33.723159481188716,2024-01-22
ระนอง,19.133902061950668,2024-01-22
ระยอง,36.164779854004934,2024-01-22
ลำปาง,38.8321537867084,2024-01-22
ลำพูน,37.026444499571696,2024-01-22
สงขลา,23.1506170061695,2024-01-22
กระบี่,19.442419432138593,2024-01-22
ชลบุรี,42.97265494648375,2024-01-22
ชัยนาท,52.542547942502324,2024-01-22
นครปฐม,52.095993693575984,2024-01-22
นครพนม,20.121057055296696,2024-01-22
บึงกาฬ,21.44621253739455,2024-01-22
พัทลุง,20.888642971169652,2024-01-22
พิจิตร,43.82978806182529,2024-01-22
ภูเก็ต,21.650691345949596,2024-01-22
ลพบุรี,59.3616702799231,2024-01-22
สกลนคร,25.520748052547287,2024-01-22
ขอนแก่น,47.580361145336674,2024-01-22
ชัยภูมิ,57.928201380177086,2024-01-22
นครนายก,48.509209855487576,2024-01-22
นนทบุรี,50.48730446689122,2024-01-22
ปัตตานี,27.080721660379,2024-01-22
ราชบุรี,52.135980762189334,2024-01-22
สระบุรี,59.69166790650708,2024-01-22
สระแก้ว,66.47397158565283,2024-01-22
สุโขทัย,48.31035489960166,2024-01-22
หนองคาย,35.79147647467455,2024-01-22
อ่างทอง,71.74001124983369,2024-01-22
จันทบุรี,43.501545775687525,2024-01-22
นราธิวาส,24.18220176502298,2024-01-22
ปทุมธานี,52.525267092129845,2024-01-22
พิษณุโลก,42.94474136951584,2024-01-22
มุกดาหาร,26.65598521323442,2024-01-22
ร้อยเอ็ด,37.91536671662014,2024-01-22
ศรีสะเกษ,47.08173661871272,2024-01-22
สุรินทร์,58.22905012526765,2024-01-22
อุดรธานี,36.25270605209909,2024-01-22
เชียงราย,26.060138833114667,2024-01-22
เพชรบุรี,46.046458527327054,2024-01-22
กาญจนบุรี,49.230053308164315,2024-01-22
กาฬสินธุ์,38.047241632643875,2024-01-22
กำแพงเพชร,40.865277628079944,2024-01-22
นครสวรรค์,49.72981051149043,2024-01-22
บุรีรัมย์,63.60786006496669,2024-01-22
มหาสารคาม,45.0939505801072,2024-01-22
สมุทรสาคร,57.81461101263997,2024-01-22
สิงห์บุรี,61.593572203761106,2024-01-22
อุตรดิตถ์,41.96557882671868,2024-01-22
อุทัยธานี,49.391763890096655,2024-01-22
เชียงใหม่,25.323700399502997,2024-01-22
เพชรบูรณ์,50.420215221124074,2024-01-22
ฉะเชิงเทรา,53.975492010918146,2024-01-22
นครราชสีมา,58.22626071387194,2024-01-22
ปราจีนบุรี,62.32092895138042,2024-01-22
สุพรรณบุรี,55.36020403087055,2024-01-22
อำนาจเจริญ,26.74103471832398,2024-01-22
แม่ฮ่องสอน,26.607946160055953,2024-01-22
สมุทรปราการ,47.82041398450894,2024-01-22
สมุทรสงคราม,58.99891950224099,2024-01-22
หนองบัวลำภู,42.44422833717421,2024-01-22
อุบลราชธานี,45.2563846508071,2024-01-22
สุราษฎร์ธานี,21.29492241570588,2024-01-22
กรุงเทพมหานคร,48.309931038297854,2024-01-22
นครศรีธรรมราช,19.922054606840017,2024-01-22
ประจวบคีรีขันธ์,39.49344498943812,2024-01-22
พระนครศรีอยุธยา,57.18522309903049,2024-01-22
