date, pm25, pm10, o3, no2, so2, co
2018/4/19, 169, 326, 24, 24, 10, 7
2018/4/20, 192, 457, 35, 20, 8, 5
2018/4/21, 211, 143, 30, 25, 14, 5
2018/4/22, 144, 124, 41, 34, 7, 4
2018/4/23, 104, 216, 54, 44, 11, 18
2018/4/24, 176, 201, 42, 51, 10, 24
2018/4/25, 183, 365, 101, 51, 13, 45
2018/4/26, 223, 280, 39, 33, 9, 14
2018/4/27, 185, 223, 44, 19, 10, 8
2018/4/28, 163, 178, 68, 28, 10, 10
2018/4/29, 162, 151, 55, 27, 10, 10
2018/4/30, 156, 109, 33, 16, 6, 10
2018/5/1, 125, 107, 31, 17, 6, 7
2018/5/2, 124, 107, 17, 22, 9, 7
2018/5/3, 116, 97, 32, 25, 8, 8
2018/5/4, 114, 125, 50, 35, 7, 12
2018/5/5, 143, 305, 23, 55, 10, 32
2018/5/6, 179, 302, 45, 46, 12, 21
2018/5/7, 187, 363, , , 3, 3
2018/5/8, 162, 138, 65, 30, 12, 8
2018/5/9, 156, 146, 84, 46, 7, 14
2018/5/10, 162, 230, 79, 53, 12, 21
2018/5/11, 178, 293, 70, 51, 14, 24
2018/5/12, 191, 186, 35, 24, 11, 8
2018/5/13, 147, 96, 37, 26, 11, 7
2018/5/14, 119, 128, 46, 33, 8, 11
2018/5/15, 150, 147, 48, 30, 7, 9
2018/5/16, 156, 209, 65, 23, 13, 9
2018/5/17, 192, 180, 52, 27, 14, 9
2018/5/18, 186, 206, 62, 41, 10, 19
2018/5/19, 195, 148, 67, 30, 11, 10
2018/5/20, 174, 146, 56, 25, 12, 8
2018/5/21, 169, 154, 25, 48, 13, 16
2018/5/22, 171, 276, 97, 56, 13, 22
2018/5/23, 190, 286, 36, 55, 12, 20
2018/5/24, 185, 162, 66, 50, 9, 18
2018/5/25, 148, 193, 82, 49, 14, 17
2018/5/26, 177, 264, 72, 48, 8, 18
2018/5/27, 194, 213, 88, 45, 14, 10
2018/5/28, 189, 288, 79, 44, 9, 13
2018/5/29, 196, 181, 44, 17, 8, 7
2018/5/30, 168, 153, 50, 25, 9, 8
2018/5/31, 167, 130, 48, 14, 7, 6
2018/6/1, 158, , , , , 
2018/6/3, 137, 113, 48, 15, 6, 6
2018/6/4, 149, 94, 41, 15, 6, 6
2018/6/5, 143, 110, 32, 20, 7, 7
2018/6/6, 148, 102, 68, 23, 9, 8
2018/6/7, 154, 114, 30, 18, 5, 8
2018/6/8, 156, 117, 30, 15, 5, 7
2018/6/9, 132, 101, 73, 26, 5, 9
2018/6/10, 144, 130, 53, 26, 5, 7
2018/6/11, 158, 442, 29, 21, 5, 6
2018/6/12, 256, 890, 21, 15, 4, 4
2018/6/13, 390, 703, 22, 15, 5, 4
2018/6/14, 347, 495, 22, 13, 6, 4
2018/6/15, 252, 332, 25, 13, 7, 5
2018/6/16, 224, 150, 28, 11, 6, 5
2018/6/17, 172, 98, 32, 20, 8, 7
2018/6/18, 158, 89, 52, 17, 7, 5
2018/6/19, 143, 125, 80, 28, 8, 9
2018/6/20, 167, 158, 71, 28, 8, 7
2018/6/21, 182, 128, 101, 33, 8, 12
2018/6/22, 171, 136, 74, 35, 9, 11
2018/6/23, 177, 130, 61, 25, 10, 8
2018/6/24, 165, 302, 38, 19, 7, 8
2018/6/25, 182, 106, 24, 18, 12, 6
2018/6/26, 151, 58, 14, 13, 5, 7
2018/6/27, 105, 42, 21, 14, 5, 6
2018/6/28, 67, 57, 20, 14, 5, 7
2018/6/29, 95, 57, 23, 18, 6, 7
2018/6/30, 105, 55, 24, 15, 5, 8
2018/1/20, 316, , , , , 
2018/1/22, 235, 251, 8, 36, 5, 17
2018/1/23, 263, 171, 22, 25, 8, 16
2018/1/24, 225, 153, 16, 22, 7, 13
2018/1/25, 214, 211, 16, 27, 7, 19
2018/1/26, 262, 242, 25, 31, 8, 17
2018/1/27, 272, 221, 26, 31, 5, 23
2018/1/28, 245, 229, 24, 30, 5, 18
2018/1/29, 239, 192, 27, 28, 9, 9
2018/1/30, 227, 171, 27, 25, 9, 12
2018/1/31, 219, 213, 28, 39, 14, 18
2018/2/1, 231, 201, 23, 34, 10, 16
2018/2/2, 222, 159, 33, 34, 11, 11
2018/2/3, 185, 176, 35, 32, 9, 13
2018/2/4, 207, 242, 21, 42, 12, 20
2018/2/5, 250, 184, 25, 36, 11, 16
2018/2/6, 215, 161, 38, 34, 12, 14
2018/2/7, 198, 230, 5, 43, 9, 35
2018/2/8, 266, 215, 39, 46, 15, 24
2018/2/9, 212, 291, 50, 57, 12, 40
2018/2/10, 263, 225, 19, 46, 11, 29
2018/2/11, 232, 108, 14, 18, 9, 7
2018/2/12, 163, 118, 27, 30, 10, 12
2018/2/13, 183, 97, 27, 20, 8, 6
2018/2/14, 145, 109, 30, 22, 10, 8
2018/2/15, 164, 157, 33, 32, 12, 11
2018/2/16, 212, 164, 33, 32, 13, 12
2018/2/17, 209, 177, 42, 33, 10, 14
2018/2/18, 197, 207, 49, 43, 12, 25
2018/2/19, 215, 242, 48, 45, 12, 24
2018/2/20, 236, 256, 50, 60, 12, 40
2018/2/21, 219, 214, 34, 41, 13, 20
2018/2/22, 211, 209, 38, 46, 13, 26
2018/2/23, 204, 288, 26, 44, 12, 22
2018/2/24, 234, 169, 30, 25, 13, 10
2018/2/25, 182, 106, 27, 18, 9, 5
2018/2/26, 146, 120, 29, 26, 10, 9
2018/2/27, 159, 193, 43, 33, 12, 18
2018/2/28, 190, 164, 30, 34, 11, 18
2018/3/1, 176, 155, 30, 37, 10, 22
2018/3/2, 177, 152, 29, 28, 12, 12
2018/3/3, 167, 138, 28, 23, 11, 9
2018/3/4, 159, 110, 34, 25, 10, 9
2018/3/5, 140, 113, 27, 24, 11, 7
2018/3/6, 145, 142, 18, 31, 12, 9
2018/3/7, 171, 126, 78, 23, 19, 8
2018/3/8, 166, 141, 40, 23, 19, 7
2018/3/9, 172, 112, 28, 25, 12, 7
2018/3/10, 150, 148, 35, 30, 11, 11
2018/3/11, 153, 155, 32, 33, 13, 14
2018/3/12, 170, 174, 22, 48, 14, 23
2018/3/13, 166, 255, 29, 43, 11, 23
2018/3/14, 177, 206, 17, 31, 13, 11
2018/3/15, 173, 189, 29, 28, 16, 11
2018/3/16, 180, 151, 14, 24, 15, 7
2018/3/17, 181, , , , , 
2018/3/19, 141, 174, 36, 45, 16, 21
2018/3/20, 180, 265, 39, 36, 21, 18
2018/3/21, 220, 124, 37, 24, 17, 8
2018/3/22, 164, 101, 16, 29, 11, 8
2018/3/23, 154, 120, 37, 28, 11, 7
2018/3/24, 154, 137, 38, 27, 13, 8
2018/3/25, 154, 127, 33, 28, 12, 9
2018/3/26, 155, 144, 25, 41, 13, 17
2018/3/27, 159, 172, 42, 36, 13, 16
2018/3/28, 157, 140, 32, 31, 14, 10
2018/3/29, 168, 165, 45, 37, 13, 11
2018/3/30, 174, 272, 31, 34, 13, 15
2018/3/31, 199, 136, 15, 36, 11, 10
2024/12/31, , 159, 16, 21, 4, 14
2025/1/26, , 138, 52, 33, , 7
2024/11/15, , 278, 18, , 6, 13
2023/7/20, , 82, 3, 5, 1, 7
2022/5/8, , 109, 28, 12, 3, 11
2021/4/18, , 121, 28, 16, 3, 8
2021/3/29, , 484, 17, 5, 2, 4
2020/4/4, , 61, 219, 6, 15, 3
2019/12/31, , 396, 22, 41, 7, 33
2020/3/1, , 111, 27, 26, 8, 10
2019/9/22, , 63, 7, 17, 5, 9
2019/4/7, , 231, 44, 27, 9, 8
2018/12/31, , 364, 18, 39, 8, 33
2019/2/24, , 105, 17, 37, 7, 8
2019/3/21, , 78, 33, 19, 7, 4
2018/6/2, , 96, 57, 15, 6, 6
2018/1/19, , 360, 5, 31, 11, 16
2018/1/21, , 257, 31, 39, 9, 21
2018/3/18, , 115, 30, 35, 14, 11
